t,EpoRpJAK2_Obs,SHP1Act_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,SOCS3nRNA3_Obs
0,0,0.0015370361047322,0.102118357632961,0,0.718678964135404,0.869031912331976,6.4697696408301e-07
5,NaN,NaN,NaN,NaN,NaN,1.17137520721941,NaN
6,NaN,NaN,NaN,90.8844802165168,NaN,NaN,NaN
6.5,NaN,NaN,29.8761676071275,NaN,NaN,NaN,NaN
7,0.200734974602225,0.05685365639779,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,32.003468594057,NaN,NaN
10,NaN,NaN,NaN,239.350114399759,NaN,15.9634759678059,0.00033387595282413
15,0.234203592848535,0.116857074855525,26.1389675513861,NaN,305.191974802893,106.156599142865,NaN
20,0.319513366646216,0.0846905473582091,31.1698437171686,1235.64080111788,NaN,331.547198871033,0.00053749233633615
25,NaN,NaN,22.2457313397707,1828.45624392852,885.325792582971,534.111155710897,NaN
30,0.219341081747132,0.136621122415978,NaN,1088.80536391911,NaN,NaN,NaN
35,NaN,NaN,20.446333677255,NaN,1697.60412249758,1288.26703344944,0.000649957567522032
40,0.249971428800279,0.156223875394583,NaN,1364.10644107775,NaN,811.661326293254,NaN
45,0.111533808987975,NaN,15.0582176320457,NaN,1587.38321800343,NaN,0.000496454969667119
50,NaN,0.153129308042939,NaN,1559.21673625927,NaN,996.740550044559,NaN
55,NaN,NaN,12.5230964724584,NaN,NaN,NaN,NaN
60,0.1442784924087,0.181368619744814,NaN,1138.8187806626,1444.9821384735,1349.93304149729,0.000461828264677328
65,NaN,NaN,6.91852254526899,NaN,NaN,NaN,NaN
70,0.165939652307203,NaN,NaN,658.852525205107,NaN,1585.01752094622,NaN
75,NaN,0.12244064641565,NaN,NaN,820.095709608417,NaN,NaN
80,NaN,NaN,8.46010027328775,NaN,NaN,NaN,0.000263059998201114
85,0.173581090015903,NaN,NaN,390.574754426174,NaN,820.657495152987,NaN
90,NaN,0.198382338355436,NaN,NaN,699.021827891526,NaN,NaN
95,NaN,NaN,7.24097624575388,NaN,NaN,NaN,NaN
100,0.2016389872352,0.217457301949531,6.38113826559017,561.656654366375,535.407684453651,547.664745543414,0.00024627106786974
150,NaN,0.200686356966113,5.21031521873651,467.338208635519,408.56225127018,NaN,0.000132997773517877
