t,SHP1Act_Obs,CISnRNA1_Obs,CISnRNA2_Obs
0,0.000111717659708529,0,0.0779540160836271
9,NaN,NaN,0.211717790540506
10,NaN,1.00974781194288,NaN
15,0.0349263551060385,NaN,NaN
20,NaN,10.4175002709162,3.96292921103948
30,0.0510433776855005,18.7216523772745,16.4741185009963
40,NaN,NaN,21.2172167353427
45,0.0472696021555978,29.9154463624096,NaN
50,NaN,NaN,18.0790896703382
55,NaN,20.767494632121,NaN
60,0.0608495375215131,NaN,31.5059509794663
70,NaN,25.352179892608,NaN
75,NaN,NaN,33.8124270394702
80,0.0536133786229162,NaN,NaN
90,NaN,27.1439062269981,NaN
95,NaN,NaN,23.8749623624938
100,0.0557578648066899,23.8247779508172,35.2575365557571
150,0.0527736186836493,19.8627950391468,15.4387512382628
200,0.0608838965852425,16.7722558250719,22.0902860206936
250,0.0528166938566995,NaN,NaN
