t,SHP1Act_Obs,CISnRNA1_Obs,CISnRNA2_Obs
0,0.000228754563570638,-0.619992275811409,1.19639189425432
9.5,NaN,NaN,1.04367460398697
10,NaN,-0.639316469727265,NaN
15,0.0265463885994177,NaN,NaN
20,NaN,8.2622980692323,3.6823977289397
30,0.0498245462567452,18.6167118235352,10.6201402651455
40,NaN,NaN,19.0926471225337
45,NaN,27.1260163444605,NaN
50,0.0544410808363648,NaN,NaN
55,NaN,30.2668110544781,27.541627806091
65,0.0587720554549142,NaN,32.543545337771
70,NaN,31.4291131332863,NaN
80,NaN,NaN,27.5503246044048
85,0.0570460073411306,NaN,NaN
90,NaN,24.4957737341143,NaN
100,0.0635068328519706,28.7000254807934,25.8360457889945
150,0.0686724175157114,24.1038172744744,23.1004786719333
200,0.0708253772062084,23.6925512722713,22.0322813496685
250,0.067501335906751,NaN,NaN
