t,EpoRpJAK2_Obs,SHP1Act_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,SOCS3nRNA3_Obs
0,-0.00537984827467808,-0.041020288998144,0.537395731733943,12.1315866200322,0.0709484818116516,-18.4315561289605,9.82292737409196e-07
5,NaN,NaN,NaN,26.8519920740085,NaN,NaN,NaN
5.5,0.21577324326026,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,11.7093490990011,NaN,NaN,NaN,NaN
9,NaN,0.204923320456629,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,51.659094315544,NaN,NaN
10,0.170014642150328,NaN,NaN,126.488805619306,NaN,2.2095876713391,0.000127016037278663
15,0.128388822194758,NaN,10.8458453072073,300.217076652096,NaN,NaN,NaN
20,NaN,0.27426481816485,NaN,464.208017137078,217.918480218559,85.7821493545503,NaN
25,0.122737122375193,NaN,8.92334099959267,NaN,NaN,NaN,0.000306946934722422
30,0.117316228980254,0.309063201741233,NaN,562.899062599099,423.148349039527,270.224862288882,NaN
35,NaN,NaN,8.73966182856893,532.648179900652,NaN,NaN,NaN
40,0.0913829269169372,0.362358326100945,NaN,586.203491734306,542.660165460733,453.340926128277,0.000250877674793794
45,NaN,NaN,6.01059653259321,NaN,NaN,NaN,NaN
50,0.084897565241502,0.374594732665247,NaN,503.485722404417,530.229473941916,NaN,NaN
55,NaN,NaN,6.1210456361444,NaN,NaN,502.683781500243,0.000201299203239395
60,0.092414860426743,0.415272665254155,NaN,407.130470739448,NaN,NaN,NaN
65,NaN,NaN,5.12477062099292,NaN,468.839005007867,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,477.692101718381,0.000179643880729232
75,0.101550635689597,0.408051885648532,NaN,394.718147459192,NaN,NaN,NaN
80,NaN,NaN,4.12633093629133,NaN,393.503468989323,NaN,NaN
85,NaN,NaN,NaN,351.057733082472,NaN,391.839836190464,NaN
90,0.0858568541783951,0.432648332125617,NaN,NaN,NaN,NaN,0.00012406543176612
100,NaN,0.483788049769453,2.19283685109404,287.444011411432,252.167700923506,364.236049875124,0.000126978910161581
150,NaN,0.418421398947802,2.18133131070192,NaN,189.597588389735,230.545457235154,9.16437858614588e-05
200,NaN,0.427272574832667,NaN,NaN,174.025361746366,205.333218583897,9.95296133908259e-05
