t,SHP1Act_Obs,pSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0.000841425734996369,0.0105522699186181,0,1.28690735895378,0.826076591426868,8.53204800296126e-07,1.27905963841539e-06
5.5,NaN,NaN,23.354715879203,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,8.16958288092172,NaN,NaN,NaN
8.5,0.139594425977346,17.3622520673714,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,8.85481952812452,0.000187268010757682,NaN
10,NaN,NaN,136.483387162099,NaN,NaN,NaN,0.000128257992348503
15,0.291223798400777,7.27918621233923,341.078772050675,109.040829103159,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,129.435371195717,0.000316278308050304,NaN
25,0.283304148222865,13.2776288704061,480.486994449416,388.875637696461,NaN,NaN,0.000230912147737452
30,NaN,NaN,453.51922110362,337.856143986085,396.210654494172,0.000439846061181005,NaN
35,0.411728155328402,15.8143898496876,NaN,NaN,NaN,NaN,0.00020968558458362
40,NaN,NaN,281.627770091958,389.822099711369,398.744511831815,0.000385902436007224,NaN
50,0.422453994484957,6.32814630943373,500.127918585781,401.591553467696,594.905377264025,NaN,0.000289375483012923
55,NaN,NaN,NaN,NaN,NaN,0.000265830920389039,NaN
60,0.344995702972602,4.22334159517346,460.042688782425,486.192663435419,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,562.330891941802,NaN,0.000168477976568505
70,NaN,NaN,NaN,NaN,NaN,0.000175166527001956,NaN
75,0.395690820071674,3.98421660122824,313.243497209637,340.110263634436,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,351.987732772193,NaN,0.000188885783912715
85,NaN,NaN,NaN,NaN,NaN,0.000150315701953806,NaN
90,0.357616254866996,NaN,310.185025805759,284.438390149435,NaN,NaN,NaN
95,NaN,3.95535099254968,NaN,NaN,NaN,NaN,NaN
100,0.404384886800855,2.815036826137,342.974669602197,335.259244451266,281.817534054377,0.000163762225091463,0.000117332871043084
150,0.352846955518062,1.81724274092283,NaN,211.222671024119,324.905752429493,9.94932188236296e-05,0.000101600035379497
200,NaN,NaN,NaN,239.970979639718,215.56736383781,NaN,0.000119705911674366
