t,pAkt_Obs,S6_Obs,EGF_EGFR_Obs
0,9.75524354936474e-07,240.431123659065,8237.19855810161
30,NaN,NaN,6168139.77261537
60,NaN,NaN,1830992.15816994
90,NaN,128.14336866134,NaN
95,NaN,NaN,967433.233236043
150,NaN,NaN,106051.719440076
200,0.00290075513133024,254.324258168713,46598.2536989706
250,NaN,NaN,11537.7356509712
300,NaN,287.226567663109,10903.4243202772
350,NaN,NaN,9666.37451977565
400,0.000192530116623589,148.459142217374,NaN
450,NaN,NaN,18652.1723248225
500,NaN,196.327166354683,NaN
550,NaN,NaN,15052.1293707749
650,4.89190449127401e-05,280.872249197943,NaN
850,NaN,259.390158788651,NaN
900,2.58582451509485e-05,NaN,NaN
1000,2.4174065814857e-05,255.801462652601,NaN
1500,1.86854702046987e-05,269.933144730694,NaN
2000,7.58778515622237e-06,NaN,NaN
