t,pAkt_Obs,S6_Obs,EGF_EGFR_Obs
0,1.64631990799222e-07,316.9581836099,110.646861348238
65,NaN,228.35103995558,NaN
150,NaN,154.397141825749,NaN
200,NaN,168.749248971581,NaN
300,NaN,107.425206351372,NaN
400,NaN,280.745720647213,86873.2504022527
500,NaN,178.508189414399,NaN
600,0.000445700712119376,275.364552696786,NaN
750,NaN,319.367040694157,NaN
800,NaN,NaN,94834.6945399979
950,NaN,232.361614961072,NaN
1500,0.000133771243876653,NaN,23996.6667074987
2000,4.86152053441025e-05,NaN,NaN
2500,3.47363063491743e-05,NaN,14071.4626530756
3000,NaN,NaN,3506.60716256069
3500,1.07701906263324e-05,NaN,2258.26848702149
4500,5.88955990480811e-06,NaN,1731.9208894007
5500,3.72602556350461e-06,NaN,778.548026015986
6500,NaN,NaN,696.284282714289
7000,4.13060038572077e-06,NaN,NaN
8500,2.42833723873706e-06,NaN,NaN
