t,pAkt_Obs,S6_Obs,EGF_EGFR_Obs
0,8.55625209420129e-07,446.132765777395,950.200672709566
55,NaN,324.035243374902,NaN
100,NaN,106.707834530105,NaN
150,NaN,113.513853840181,508151.21730631
250,NaN,323.349586777752,NaN
300,NaN,188.528784285625,456845.894809207
350,NaN,305.006096174154,NaN
400,0.00149785365617762,NaN,NaN
450,NaN,379.139834183267,279605.550384296
550,NaN,255.977442937987,NaN
600,NaN,NaN,183378.299089716
700,NaN,137.143163437427,NaN
800,0.000631304492045986,NaN,180582.246591924
850,NaN,292.438645089743,NaN
1000,0.00034513120115966,NaN,54235.0221420871
1500,0.000201662890636013,NaN,19925.7135058126
2000,0.000153634090257814,NaN,NaN
2500,1.67405496540872e-05,NaN,NaN
3500,5.68565890153221e-06,NaN,NaN
4000,6.68023246137318e-06,NaN,NaN
5000,7.83329045184863e-06,NaN,NaN
6000,3.18807147836801e-06,NaN,NaN
