t,pAkt_Obs,S6_Obs,EGF_EGFR_Obs
0,1.39201112162516e-06,237.934429080071,9189.17094921565
35,NaN,NaN,5190541.24989801
70,NaN,NaN,2492965.7211492
100,NaN,164.207679996187,1461279.98647049
150,NaN,NaN,396764.787359274
200,NaN,200.18336649732,128963.869313344
250,0.00306237349062766,NaN,34186.63936746
300,NaN,189.490152631723,14637.8762226139
350,NaN,NaN,12373.0096562331
400,NaN,NaN,11557.2629964446
450,NaN,190.557480607589,NaN
500,NaN,NaN,18326.2459732263
550,3.79937112495631e-05,171.265991268208,NaN
600,NaN,NaN,22099.7444439889
700,NaN,138.393347949725,13014.4246754717
850,2.43059731802723e-05,NaN,NaN
900,NaN,318.035403599951,NaN
1000,3.98392014234298e-05,79.4031785773208,NaN
1500,1.66325341997004e-05,132.620251065782,NaN
2000,9.85954588078644e-06,NaN,NaN
