t,pAkt_Obs,S6_Obs,EGF_EGFR_Obs
0,1.3205755396833e-06,382.876950664268,1299.05637845955
90,NaN,NaN,1019285.62449446
150,NaN,273.774644064511,NaN
200,NaN,NaN,1404170.63118095
300,NaN,121.064545513036,564459.918468088
350,0.00288733683373614,NaN,NaN
400,NaN,NaN,372024.619919618
450,NaN,255.602088512464,NaN
500,NaN,NaN,174781.032788302
600,NaN,219.086181837396,NaN
650,NaN,NaN,98138.2705995374
700,0.000583543726813105,NaN,NaN
800,NaN,208.16054728077,51123.3081000205
950,NaN,NaN,20251.5498024466
1000,0.000169891478627808,192.813322028822,25806.9466937815
1500,2.34087957052473e-05,183.277333305958,2791.54259960191
2000,1.55079363955751e-05,175.440324217617,NaN
2500,2.89851276609579e-05,NaN,NaN
3500,7.72197195078216e-06,NaN,NaN
4000,6.1905490718132e-06,NaN,NaN
