t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs,Pathogen_Obs
0,8322.6420428915,1119.11402995252,1563.49149482015,-297.900105537089,0.931724994788175
1.5,NaN,-220.328915486971,NaN,NaN,NaN
2,1969.32077462011,NaN,NaN,NaN,0.208358602898186
3,NaN,NaN,-551.630418297663,NaN,NaN
3.5,NaN,-918.728778939157,NaN,-561.615642990415,NaN
4,NaN,NaN,NaN,NaN,1.80452210316114
4.5,398.767016032769,NaN,NaN,NaN,NaN
5.5,NaN,-5749.62431899859,-2093.15227202763,NaN,NaN
6.5,NaN,NaN,NaN,NaN,2.45115696101348
7,NaN,NaN,NaN,116.957980079376,NaN
7.5,77.8282235612061,-3542.98333146535,NaN,NaN,NaN
9,NaN,NaN,268.054837283884,NaN,1.65459166344678
10,-161.409989188693,2731.92382006286,421.754385426235,-3155.51441432353,2.74928560137137
15,98.0880522267448,87927.9879615423,34446.2009794194,-2708.45128168726,13.6715298001476
20,818.61883254902,7139.21687958186,42121.9995823595,7446.87045924305,0.286371339929274
25,NaN,NaN,18863.2261348037,13062.1621830842,-0.0137119446483027
30,NaN,NaN,16997.8746318441,11833.6440859211,NaN
35,NaN,NaN,5102.52560216819,NaN,NaN
40,NaN,NaN,NaN,15112.5134740712,NaN
45,NaN,NaN,5690.01815064945,16239.9209409688,NaN
55,NaN,NaN,2227.34560097237,18451.1572696934,NaN
70,NaN,NaN,NaN,18865.2846220374,NaN
