t,IRiP_Obs,IRi_Obs,IRS_Obs,Compound_1_Obs
0,5.91831713586324e-05,0.188819001684574,9.59601122690475,11.761817360048
1,NaN,0.0590568270881135,4.4324900924802,18.7892770385563
2,0.000358871090789316,0.352527901989028,5.40974026609089,NaN
2.5,NaN,NaN,NaN,14.9795501730484
3,NaN,NaN,3.89349959517596,NaN
3.5,NaN,0.593518310930575,NaN,10.928461242329
4,0.000231024445203227,NaN,5.63159080934994,NaN
4.5,NaN,1.26809940883153,NaN,NaN
5,NaN,NaN,NaN,13.8139107835504
5.5,NaN,NaN,2.92336213175768,NaN
6,NaN,1.31675189395071,NaN,NaN
6.5,0.000500274402524656,NaN,NaN,14.5492350437585
7,NaN,NaN,3.51719445780501,NaN
8,NaN,2.13000526459409,NaN,NaN
8.5,NaN,NaN,3.99298515987288,17.0731385616602
9.5,0.000441902093585744,2.57657077982311,NaN,NaN
10,NaN,2.82563886878925,3.09482419674944,14.9835765062916
15,0.000441420837772802,3.86633685723283,3.4312652004845,10.218344653248
20,0.000268319148022959,4.41541913599338,4.06255147631782,13.0255376514614
