t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs,Compound_1_Obs
0,10.1208257559446,1.06129234503096,6.66319529281296e-08,4.28365478615761e-05,-1.25782007919916,8.7278732648241,3.37039404019229,9.31607937346564,6.85397901476641
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.3287883096586
2.5,NaN,8.93805352192173,1.08978932499175e-06,NaN,NaN,3.177985718131,7.48833753292262,NaN,NaN
3,0.0235617603069107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,2.13634166823698,NaN,NaN,NaN,NaN
4.5,NaN,NaN,9.22660011693062e-07,NaN,NaN,NaN,NaN,10.7545545096002,13.0120077561037
5,NaN,NaN,NaN,0.000567273410471914,NaN,3.3904018848626,7.20569032115133,NaN,NaN
5.5,NaN,6.89017155699243,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,-0.172742112746128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.4297177356916
7,NaN,NaN,8.6909901851656e-07,NaN,4.18391156538757,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,4.79127684367652,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,7.02535716144768,NaN,NaN
8.5,NaN,5.28040749699491,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.79189506965679,16.4377821346282
10,0.161546409076768,5.61454362206301,7.43323314973296e-07,0.000431414594167228,3.64077787183224,3.32428530868765,7.53934899787866,NaN,13.2165582831537
15,-0.153070024068533,6.36401258403135,6.41047999897275e-07,0.000364962302320953,4.9436594783826,3.87249310895193,6.02433378717467,8.52055780144928,10.7372294511693
20,0.0839175783190461,3.87392865439982,4.29653589902084e-07,0.000268786441498645,4.5176643470682,3.11050806678278,5.92305351150788,9.5240914054666,12.7002224883245
25,-0.0499281537830977,3.27766589025247,4.93506799778294e-07,NaN,5.24452959259373,3.85419069948346,6.0722248028618,9.98695274268414,13.7631293970139
30,NaN,3.00462185351673,4.28591650656534e-07,0.000327715309052845,5.34513442751497,3.68172041426016,6.52330682946807,7.54728024714467,8.27052162783083
35,NaN,NaN,5.22346768425068e-07,0.000370356347917008,6.36935540999617,4.81543593287137,4.83785162397938,NaN,NaN
40,NaN,3.92303899659176,4.83462898551279e-07,NaN,NaN,NaN,NaN,7.56444962108505,9.44381105150948
45,NaN,5.75238964465174,NaN,0.000364844799942284,7.15023965718527,3.53436101765546,6.06876577301333,NaN,NaN
50,NaN,NaN,NaN,NaN,4.71304072026611,NaN,NaN,12.9519552306496,NaN
60,NaN,NaN,NaN,0.000330574932530907,6.47494806347158,NaN,NaN,10.6357205016608,NaN
70,NaN,NaN,NaN,0.000289872178073606,6.27495281162914,NaN,NaN,12.2735035099451,NaN
