t,XX_Obs,XXp_Obs,IRp_Obs
0,9.70262789483409,8.76050692252483e-05,-7.71712155614253e-09
0.5,10.0227687131292,NaN,NaN
1,11.0319906947228,NaN,NaN
1.5,11.5690237060766,NaN,NaN
2,10.6856584610575,NaN,NaN
2.5,10.4236502402018,NaN,NaN
3,NaN,NaN,6.3612804623034e-07
3.5,9.28055527544294,NaN,NaN
4,9.06804446653109,NaN,NaN
4.5,NaN,0.00248681736718915,NaN
5,8.65354578636162,NaN,NaN
6,10.1404208649002,NaN,6.12007485781302e-07
7,10.2860175073798,NaN,NaN
8,9.55061783826276,NaN,NaN
9,NaN,0.00218580982713615,5.52389219679225e-07
10,NaN,NaN,5.43268003047595e-07
15,NaN,0.00228112294448771,4.69820489305814e-07
20,NaN,0.0019919180992895,4.97698968817966e-07
25,NaN,0.00202583083808462,4.30067014867534e-07
30,NaN,0.00185436992413879,4.1651083681885e-07
35,NaN,NaN,4.67360525716985e-07
40,NaN,0.00204441636999487,4.305253608725e-07
50,NaN,0.00205438527907025,4.49058602265045e-07
60,NaN,0.00207287494084567,4.21433567902221e-07
70,NaN,0.00191102298724231,NaN
