t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,npSTAT5_Obs
0,4.59548855622737,0.000600094150469183,0.00621410749828036,0.0173808778466662,-77.5767781730176,4.34057991352621,0.000147136329272029,-0.000513865903228812,0.000582421037315808,0.00302520551655049,-0.561974174147778,-11.1945896147922
5.5,NaN,NaN,NaN,NaN,-94.2901597105679,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,NaN,NaN,0.289105821948566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.96025787175824
6.5,3.83076526161688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,0.0396704755944877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.505601161969664,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00027577803597181,NaN,NaN
10,NaN,NaN,0.169688976835162,0.139037686539695,363.486656768155,0.72618490198685,0.00287080827536989,NaN,NaN,NaN,NaN,22.2011239464
15,4.69367655280749,0.029365097638512,NaN,NaN,687.482045674349,NaN,NaN,0.00147392437439725,0.00183839810207969,NaN,-1.75429474175315,NaN
20,2.45351050494856,NaN,0.0979471886336912,NaN,NaN,6.32734385630059,NaN,NaN,NaN,-0.00552977763640849,NaN,37.1447781369103
25,5.97179807347829,0.0191636627778144,0.0745002787892264,0.254344080985751,579.87455444071,NaN,0.00566669088738753,0.00504676294754651,NaN,NaN,4.02811598328907,40.9266959067129
30,NaN,NaN,0.0790143685357158,NaN,2057.37612179416,-0.321898675239479,NaN,NaN,0.00468943611963223,0.0221410911936851,NaN,NaN
35,3.99146627212304,0.0110089833222753,NaN,0.194310492854206,NaN,NaN,0.0051578539708053,NaN,NaN,NaN,8.55153403134273,35.91474418246
40,NaN,NaN,0.0615910805131473,NaN,2295.08033463208,8.09905684949032,NaN,0.00530938971001723,NaN,0.0396364958867806,NaN,34.2632364954469
45,4.74517734755764,0.0117348096707506,NaN,NaN,2518.22482485009,NaN,NaN,NaN,0.00503632442750176,NaN,13.7130935585988,NaN
50,NaN,NaN,0.0432901832893383,0.28894785236478,NaN,NaN,0.00533173014536125,NaN,NaN,NaN,NaN,40.6666915539168
55,NaN,0.0147949992694758,NaN,NaN,2196.38495259825,28.2649540789773,NaN,0.00412476424439352,NaN,0.0733348733625155,17.4845003015797,NaN
60,4.38125900611026,NaN,0.0364899749309631,0.256427773896513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.2415362278505
65,NaN,NaN,NaN,NaN,NaN,NaN,0.00296304890085548,NaN,0.00378758036947592,0.0693538608752873,NaN,NaN
70,3.91260977466223,0.00737967564589467,NaN,NaN,1799.8642474557,37.3650303222619,NaN,0.00342035338342424,NaN,NaN,21.9005959300061,NaN
75,NaN,NaN,0.0356994894439176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8556092046778
80,NaN,NaN,NaN,0.304545002843912,1498.80515615632,NaN,0.00206842054319723,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,48.1879825991981,NaN,NaN,0.00271307029844723,0.0905224667866255,24.4779446966459,NaN
90,4.88185974781671,0.00805194624030407,0.038311451522514,NaN,NaN,NaN,NaN,0.00251751799662218,NaN,NaN,NaN,15.8659713426362
95,NaN,NaN,NaN,NaN,1167.02600444122,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,4.71950765477516,0.0105159852582507,0.0446697279416853,0.319987791835865,617.660398684551,46.2044299695845,0.0013914173590089,0.00176297683237622,0.00154360658276246,0.0954057846116182,24.0011965401347,13.1609456314479
150,NaN,0.0076155029010793,NaN,0.284617050157019,322.909601769555,54.8253565088245,-0.000199806744018039,0.000544935509292167,0.000839967646061727,0.095039367570548,15.9890933671211,4.53398381929646
200,NaN,NaN,NaN,0.279031779377828,NaN,42.4241064461632,0.00102690400690385,0.00089051773498778,0.000279485176845407,0.0410160111186976,12.9414065266462,NaN
