t,p1EpoRpJAK2_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs
0,0.000105243090310533,9.03023259300943,0.0709370987188478,1.03986030621e-05,1.03260488401018e-05,0.000103404861537504
6,NaN,86.0653744913043,NaN,NaN,NaN,NaN
7,0.180520096861218,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.113880429926715,NaN,NaN,NaN
10,NaN,324.128531243945,NaN,0.00411469525625404,0.00172338185256393,0.00138641493650606
15,0.120089630689846,NaN,NaN,NaN,NaN,NaN
20,0.111147251973598,1836.92728674914,0.363852937061177,NaN,NaN,NaN
25,NaN,2555.84583181058,NaN,0.00967265200491437,0.00625987966603877,0.0284614779305181
30,0.0767711704978209,1896.75110909046,3.61774716280546,NaN,NaN,NaN
35,NaN,NaN,NaN,0.00718919350190234,NaN,0.0607600798891306
40,0.0562972500212344,3670.69482787911,14.0093897734102,NaN,0.00707830750883129,NaN
50,0.0362354209849395,2551.80105571249,NaN,0.00498631683046654,NaN,0.123085668410441
55,NaN,NaN,26.2369923023935,NaN,0.00670059876045749,NaN
60,0.0360669162567468,2898.87094865806,NaN,NaN,NaN,NaN
65,NaN,NaN,58.919763659239,0.00555014762994928,NaN,NaN
70,NaN,2615.43016361948,NaN,NaN,0.00414845738318433,0.120481659670426
75,0.0293079008045015,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.00414911347725217,NaN,NaN
85,NaN,2066.66368623734,66.9461314119651,NaN,NaN,NaN
90,0.0367958472109556,NaN,NaN,NaN,0.00383053573837966,0.156436765460004
100,0.0291913178428093,1716.81801098802,124.545185765186,0.00251756460295644,0.00284750966117085,0.17838763311976
150,NaN,586.732028752895,101.508058941084,0.00160747749261926,0.00209766873514785,0.129371120931283
200,NaN,NaN,95.6517670831197,0.00119939989735844,0.00156102840707002,0.107555763125787
