t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,4.75072086436685,8.16545731084031e-05,0.00113015325257106,15.2802898383022,0.000901072817338754,10.3833028295691,0.0889533289314698,1.01547241935512e-05,9.7696629272384e-06,0,0.000108398253675507,0
6,5.11004413896749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,0.32092268261123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,80.7798101530687,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000360081206222498,NaN,NaN,0.0141243095772247
9,NaN,NaN,NaN,NaN,NaN,NaN,0.097036950322599,NaN,NaN,NaN,NaN,NaN
9.5,NaN,0.0492055071656304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,19.0942407294529,0.069270370328863,NaN,NaN,NaN,NaN,0.000506353749567136,0.000369918150128558,NaN
15,3.25411970297605,NaN,0.284297699361399,NaN,NaN,787.603613261089,NaN,0.0040512179751554,0.00351460462374523,NaN,NaN,0.769304765700608
20,3.27535521788679,0.0347484488167448,NaN,NaN,0.08735014636823,NaN,0.29734388045724,NaN,NaN,NaN,0.00850351944214463,NaN
25,3.27911774677903,NaN,0.159861421787991,13.5994196524169,NaN,1795.56887179747,NaN,0.00515739396090311,0.00463441808591341,0.00501895375048094,NaN,3.79600026108132
30,NaN,0.0341030064177699,NaN,NaN,0.139320152876247,NaN,1.57255191670876,NaN,NaN,NaN,NaN,NaN
35,5.04646509279555,NaN,0.133156520048881,18.1666839548054,NaN,3553.05741834549,NaN,NaN,0.00800162175077267,0.00877999481599797,0.0383621143467603,12.6655315900453
40,NaN,0.0310149464826564,NaN,NaN,0.09935276930152,NaN,10.2298305084834,0.00698792715922374,NaN,NaN,NaN,NaN
45,3.5842718055508,NaN,0.0730032355572734,NaN,NaN,3573.70308101209,NaN,NaN,0.00674788453912226,NaN,0.0678906137570146,14.6276085900233
50,NaN,NaN,NaN,22.8570034425731,NaN,NaN,15.770466653791,NaN,NaN,0.0073748839270037,NaN,NaN
55,5.28049747013002,0.0199575590993224,0.112967272509065,NaN,0.141445175756826,3460.05220058711,NaN,0.00437081960875647,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,30.8599424270271,NaN,0.00467543355994357,NaN,0.0723961181494261,20.130124504898
65,4.7659100870001,NaN,NaN,NaN,NaN,2053.33181848769,NaN,NaN,NaN,0.00518047561773646,NaN,NaN
70,NaN,0.0206094514378576,0.0849694753986563,17.4647923625636,0.17198925959692,NaN,NaN,NaN,NaN,NaN,NaN,29.5763073033955
75,NaN,NaN,NaN,NaN,NaN,NaN,41.4682339538529,0.00282377544747728,0.00375042037843126,NaN,0.12818252141228,NaN
80,4.9461585158828,NaN,NaN,NaN,NaN,1751.08416029472,NaN,NaN,NaN,NaN,NaN,NaN
85,NaN,0.0145091250956418,0.0983564042170757,NaN,0.184027576224583,NaN,NaN,NaN,NaN,0.00279980919436256,NaN,44.6187655837097
90,NaN,NaN,NaN,14.2410165022888,NaN,NaN,78.912661766128,NaN,0.00276481025221052,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00200186110090448,NaN,NaN,0.145606997151309,NaN
100,4.68664477988755,0.0149729379950052,0.0855539295497064,16.4457189536203,0.125994490117952,1062.16773290323,59.7674601590667,0.00190953103098499,0.00225622295524111,0.00267436027732016,0.111285464703579,36.7608945556381
150,NaN,0.0178272027007724,0.0676076883769262,13.8664864428929,0.140468419169241,548.368485894776,64.8011863987503,0.000855454404536043,0.000979538935211654,0.000596094410121982,0.11277380543937,21.702297472742
200,NaN,NaN,NaN,15.3964004649228,0.157086624303984,434.791466260319,44.1607807310194,0.000884456094831615,NaN,0.000777277528667194,0.0714533700698841,20.9563498287931
