t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA3_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,SOCS3nRNA3_Obs
0,4.65068586212609,9.09761919643813e-05,9.03659522839201e-05,9.42397249578696e-05,15.2863637829172,0.000886917891858838,104.517260803408,9.89860464519293,1.00516774143121,0,9.78754375104727e-05,0.100325280316638,1.09780413443089e-05,8.23143346074198e-06,0,0.000112232450245708,0,0
15,4.72098311295695,NaN,NaN,NaN,NaN,NaN,27.8964367310166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,12.2020373335456,NaN,NaN,2301.76495458335,1401.57135656938,609.0737931186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,4.24386491494151,NaN,0.143233594588359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00760142215952895,NaN,NaN,NaN,4.69449143077473,NaN
30,NaN,0.024372346178487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00654600748661464,NaN,NaN,0.0055606106564616
35,NaN,NaN,NaN,0.0908152971131854,NaN,NaN,52.3300763267412,2472.76111731158,NaN,NaN,NaN,3.65819647460221,NaN,NaN,NaN,0.0486890653682191,NaN,NaN
40,3.74784231441834,NaN,NaN,NaN,20.9143682599835,NaN,NaN,NaN,2614.86600127492,2215.3335641957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,0.142717436428259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00630752353498154,NaN,NaN,NaN,NaN
50,NaN,NaN,0.11404147311248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.224660452713237,NaN,NaN,NaN,NaN,NaN,18.2799951129761,NaN
55,6.17182738601573,NaN,NaN,NaN,NaN,NaN,83.2482598868616,2581.50867132231,NaN,NaN,NaN,NaN,0.00462393709705089,NaN,NaN,NaN,NaN,NaN
60,NaN,0.0253122548061623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2851.37207127199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,19.4444055175722,NaN,NaN,NaN,2617.15240716993,NaN,NaN,NaN,NaN,NaN,0.00415610013714933,NaN,NaN,0.00549950152269631
70,3.93391648752519,NaN,NaN,0.0343493927908364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.1338011445142,NaN,NaN,NaN,0.138321964515175,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,105.558648270017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,0.0967373374767877,NaN,NaN,NaN,NaN,1331.712028724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.6784088579083,NaN
85,NaN,NaN,NaN,NaN,NaN,0.128087675854694,NaN,NaN,NaN,1856.64123447122,NaN,NaN,0.00224563587638034,NaN,NaN,NaN,NaN,NaN
90,3.75341140092112,NaN,NaN,NaN,17.7680965770202,NaN,NaN,NaN,1526.63557398727,NaN,NaN,NaN,NaN,0.00284890138693148,NaN,NaN,NaN,NaN
95,NaN,0.0155424243391491,NaN,NaN,NaN,NaN,93.4172267007728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,5.29008379042569,NaN,0.0566185500123152,0.027714620885178,17.9532830056271,NaN,103.436855396907,1071.9264972983,1064.31359771968,1889.29054975457,0.187595886767483,59.8080975672833,0.00159599198578202,NaN,0.00142879080811509,0.101775293947448,27.6891396574513,0.00230188671574714
150,4.19628279122922,0.0161145933680097,0.0851583381003501,0.0265023875988732,17.1254606644539,0.153364962492532,98.852530757718,471.106643399194,383.655988333382,462.39550030389,0.0648412199819403,53.2715320774499,0.000784420198293039,0.00105822418615043,0.000766448744650714,0.0641584909747662,20.2361804292584,0.00111166402149661
200,4.33117289423409,0.020206271425839,0.0740646098856931,0.0364120899346604,14.3118781624688,0.148863055532296,92.2354269381943,359.664383067102,247.990333834074,338.427990068171,0.0271147987576156,60.5693905959258,0.000840733081774019,0.000717465459209506,0.00079874764215347,0.0613487856991953,18.4985097696646,0.000702007317883317
250,3.19111766746053,0.0234489172531148,0.103087521270873,NaN,NaN,0.147879898821895,87.3060854512294,366.321874657656,320.741978374672,413.321380859471,NaN,41.6525520735753,0.000978241470761201,0.000754445416180064,0.000825863410584072,0.0535600209631584,16.4491179865954,0.000876332173549181
