t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,6.26175724460736,6.26491357846956e-05,9.13792183267871e-05,9.99349120629457e-05,0.100311040025978,0.000803308958183712,7.11424726879569e-08,1.0625403025321e-07,0,9.51836473618967e-06
9,NaN,NaN,0.0717782947624097,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.0280310801027281,NaN,NaN,NaN,0.00133310063995857,NaN,NaN,3.8228080686225e-07,NaN
15,3.95410367291542,NaN,NaN,0.0156992272654616,1.44189953385047,NaN,1.67309407194569e-05,6.06163703952494e-06,NaN,1.62467516865138e-05
20,NaN,0.0215467474461875,0.121183167900046,NaN,NaN,0.00125141267633265,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,8.13359627529537,NaN,NaN,2.87847291578409e-05,2.39284501505661e-05,NaN
30,4.83973206604904,NaN,0.0724966312411947,NaN,NaN,0.00590459213783184,5.17841201370049e-05,NaN,NaN,0.00010613385674619
35,NaN,0.0114932103824518,NaN,0.0387044097256047,NaN,NaN,NaN,NaN,6.20061512818905e-05,NaN
40,NaN,NaN,0.0318635030298598,NaN,26.2702246677193,NaN,NaN,5.69407215166127e-05,NaN,NaN
45,4.13952000430567,NaN,NaN,NaN,NaN,0.0462945683134528,6.20238280790572e-05,NaN,NaN,NaN
50,NaN,0.0133534231354617,0.0288898177793283,0.0449164609175203,NaN,NaN,NaN,NaN,5.68894627838083e-05,0.000637675095096576
55,NaN,NaN,NaN,NaN,36.568483314244,0.102569844410986,NaN,8.00944787392852e-05,NaN,NaN
60,5.38062977850414,NaN,NaN,NaN,NaN,NaN,9.70930402861519e-05,NaN,NaN,NaN
65,NaN,0.0107530900951972,0.0346222339520098,NaN,NaN,NaN,NaN,NaN,8.41723758155551e-05,0.00130303720302282
70,NaN,NaN,NaN,0.0491473446750072,NaN,0.315532611209461,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,38.2995254658252,NaN,NaN,7.88367047449796e-05,NaN,NaN
80,4.10320371934708,0.0056945631970563,0.0242220306968924,NaN,NaN,NaN,6.63694245144979e-05,NaN,9.1983362014867e-05,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00156822243222998
90,NaN,NaN,NaN,NaN,NaN,0.729097270385686,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.0686280120788085,33.083769472814,NaN,NaN,7.60428525150736e-05,NaN,NaN
100,5.11653446165999,0.00787675408296287,0.0239573535607578,0.0931737904793576,43.4583596397531,0.904176907238179,8.1416603286247e-05,5.92002225770125e-05,9.77746444442033e-05,0.00173888820972834
150,3.98528258254875,0.00523127142219444,0.020126475423437,0.0559805900692162,33.9238283765231,1.21912023191025,6.21888202006015e-05,6.53630606533812e-05,5.62374636108312e-05,0.00310984483553269
200,4.41007723128982,NaN,NaN,0.0511555382592769,34.0688594365178,1.51317070361207,5.30691882602436e-05,6.79711950266304e-05,6.96573239059621e-05,0.00235039720642431
250,NaN,NaN,NaN,0.0680864344546474,16.6986303409261,NaN,7.62225815076746e-05,6.65107081828554e-05,4.67850967132378e-05,0.00244328826471426
300,NaN,NaN,NaN,0.0651648482880268,27.9524311829656,NaN,6.79308186363581e-05,5.31227172577934e-05,4.95487598421086e-05,0.00244414169308878
