t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,4.27102868502288,-0.00371607815352159,0.000852609954456624,-0.00251549002500282,-4.26316919993965,0.00792364549872433,1.25361284321226e-05,-1.45872510159234e-05,5.40128170911615e-06,-0.000114376056929252
9,5.72630459543804,NaN,0.0127420437643083,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,-1.23900089973388,NaN,NaN,NaN,-1.13789304233355e-05,NaN
15,NaN,0.0314660756887659,NaN,0.0402852184806926,NaN,-0.0105469393866048,3.9986507387053e-06,1.1679228981463e-05,NaN,NaN
20,5.86206556275637,NaN,0.0493724237375514,NaN,NaN,NaN,NaN,NaN,NaN,-0.000812321088775468
25,NaN,0.0212847622274236,NaN,NaN,-2.3761249532914,NaN,NaN,3.06088207136155e-05,2.85108268618783e-05,NaN
30,5.02141042456753,NaN,0.0258826318088246,0.0428437668973088,NaN,-0.00807332544900376,5.48254549066236e-05,NaN,NaN,NaN
40,5.16160567262411,0.00946074002901242,0.01683419030381,NaN,20.3563650313496,NaN,NaN,5.11305643701594e-05,6.64876813929677e-05,0.000512147981444322
45,NaN,NaN,NaN,0.0432203505383952,NaN,-0.0980745175615103,7.56043192370025e-05,NaN,NaN,NaN
50,4.75566208666346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.65352565748395e-05,NaN
55,NaN,NaN,0.0130209455168115,NaN,32.2481944471364,NaN,NaN,8.01322881122849e-05,NaN,NaN
60,NaN,0.00761123220835171,NaN,0.0681723917784114,NaN,0.0842544774716413,NaN,NaN,NaN,NaN
65,4.75993907201578,NaN,NaN,NaN,NaN,NaN,8.73654559154954e-05,NaN,0.00010825467657227,0.000737960882627799
70,NaN,NaN,0.00934929907590829,NaN,41.4969172634407,NaN,NaN,NaN,NaN,NaN
75,NaN,0.00593123506279303,NaN,NaN,NaN,NaN,NaN,8.19810732673775e-05,NaN,NaN
80,4.46394569995584,NaN,NaN,0.0527898938533107,NaN,0.492770498362811,9.94562915356932e-05,NaN,NaN,NaN
85,NaN,NaN,0.00456144454825599,NaN,41.2898218062373,NaN,NaN,NaN,8.34943495897635e-05,0.00188621077579975
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.34576611016759e-05,NaN,NaN
95,6.08507292159121,0.00942715935389945,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,4.10471722545904,0.00424561997029902,0.002033399505479,0.065501261111322,33.4391943605483,0.765580396247098,8.05780957219808e-05,8.4423679740971e-05,8.72685435674872e-05,0.00207262784617501
150,3.89082977088778,0.00735539205594386,NaN,0.057529575422567,25.2693447337179,1.54630654590742,6.40831935117513e-05,8.23755967940363e-05,5.96512165679235e-05,0.00228936800431082
200,NaN,0.00730381156547979,NaN,0.0681072965169895,22.1568772972097,1.654187261846,5.75103197465496e-05,8.0488873016381e-05,6.08088039926301e-05,0.00257777547497477
250,NaN,NaN,NaN,0.0517988773853423,34.2336543789555,1.64655689389867,5.12385549421704e-05,6.40528360666924e-05,6.79367228873663e-05,0.00256001986110107
300,NaN,NaN,NaN,0.0609023991772978,26.8463383130458,NaN,4.83284439109922e-05,5.84316971049408e-05,5.24922094274139e-05,0.00281591510706157
