t,EpoRJAK2_Obs,p1EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,SOCS3nRNA4_Obs,pSTAT5_Obs,npSTAT5_Obs,EpoRpJAK2_Obs
0,5.19766782475461,-6.3855399130705e-05,-0.0230163571363218,-0.017557688819998,12.4878863635797,0.0423298278108361,101.85407751096,0.0794317777330724,-6.76756036000976,5.33612429272095,-0.00477205636308643
10,NaN,NaN,0.318219644220272,0.718265948554455,16.5252949566721,NaN,NaN,NaN,91.2515953139589,NaN,NaN
15,2.59819768824985,0.0445628983586851,NaN,NaN,NaN,NaN,1.3239805398565,-0.0864293042630742,NaN,43.0981215634143,NaN
20,NaN,NaN,0.192723590228244,NaN,19.7926365214415,NaN,NaN,NaN,NaN,NaN,0.164349229675816
25,NaN,0.0248007592553822,NaN,0.205123760648635,NaN,0.10242814252958,NaN,NaN,67.6536268737143,NaN,NaN
30,4.56273625397504,NaN,0.169375733205184,NaN,NaN,NaN,NaN,0.0998047483341116,NaN,70.1199235233336,NaN
35,NaN,NaN,NaN,0.0972731437216069,19.4608877333283,NaN,1.94867116695499,NaN,NaN,NaN,0.174505793538953
40,NaN,0.0355429516317078,NaN,NaN,NaN,NaN,NaN,NaN,42.9993282621996,NaN,NaN
45,4.18241064947523,NaN,0.132750634864368,NaN,NaN,NaN,NaN,-0.0427247567801052,NaN,69.2986451027402,NaN
50,NaN,NaN,NaN,0.070698254127656,18.7957263816986,0.133098124119913,16.7511252133687,NaN,33.0493727885113,NaN,NaN
55,NaN,0.0288031635170396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.158784775466258
60,NaN,NaN,0.156464421798555,NaN,NaN,NaN,NaN,NaN,NaN,80.6623503589148,NaN
65,5.54973747829635,NaN,NaN,0.102660721458712,18.5961641401356,NaN,NaN,0.171847858739648,NaN,NaN,NaN
70,NaN,NaN,0.146784089110436,NaN,NaN,NaN,38.4129504005778,NaN,42.3563947975398,NaN,NaN
75,NaN,0.0227394661344796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.149704750027495,NaN,NaN,NaN,55.569868381495,0.18197270381361
85,4.07324550033774,NaN,NaN,0.0799536303414872,16.4133302631739,NaN,NaN,0.341207274275572,40.5901321722674,NaN,NaN
90,NaN,NaN,0.0895688084660637,NaN,NaN,NaN,39.7224204383637,NaN,NaN,NaN,NaN
95,NaN,0.0276635343149059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,4.1265502274517,0.031183022589649,0.144350829777939,0.0822475532438358,12.8498166340155,0.146274550809493,39.1293032227576,0.180067208258383,25.4228195898617,42.9385471897822,0.167227106581214
150,4.09362845738097,0.0258621657612674,0.116790083619006,0.0694335966613475,NaN,0.210638705491808,46.5074720759273,-0.0129957044472307,20.6955001304329,48.1781912747547,0.137669782530552
200,2.78805758164326,0.0204129240359833,0.117230196516153,NaN,NaN,0.207466139452529,47.2528901656521,0.0413601237009852,24.6741089544136,43.5657843148545,0.161027920063255
250,4.2141653600111,NaN,NaN,NaN,NaN,0.204483657772817,55.4306290033633,0.372526780300848,27.680171627371,55.112387021339,0.14519949201939
300,NaN,NaN,NaN,NaN,NaN,0.214033312969535,51.5296687088281,NaN,NaN,48.8325443310899,NaN
350,NaN,NaN,NaN,NaN,NaN,0.25322412542096,63.7359576514652,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,0.259334600884321,NaN,NaN,NaN,NaN,NaN
