t,RIIp_2_Obs,Csub_Obs,AC_Fsk_Obs,RII_2_Obs
0,0.183502602220775,0.183109963067064,-0.0560396859232177,0.0278916611017115
7.5,0.180799894291182,0.171330566651697,NaN,NaN
10,NaN,NaN,NaN,0.0285815787621159
15,0.216702783293348,0.2190412096448,NaN,NaN
20,NaN,NaN,-0.00418963365298995,0.0238292931572776
25,0.208301882591585,0.158771003559671,NaN,NaN
35,0.190676274879589,0.208721868398277,NaN,0.0324255759259366
40,NaN,NaN,-0.292814961941082,NaN
45,0.155051436098244,0.204445550787377,NaN,0.0261212217726948
60,0.151930473331547,0.250448564305712,0.14340307299348,0.0298207572756948
75,0.20577498457218,0.215236406408809,NaN,NaN
80,NaN,NaN,NaN,0.0328290839676308
85,NaN,NaN,-0.230336216581694,NaN
100,NaN,NaN,-0.229835328227449,NaN
150,NaN,NaN,0.0543485254905124,NaN
200,NaN,NaN,0.0713196866151583,NaN
