t,AC_Fsk_Obs,Compound_2_Obs
0,0.00603948582295085,1.35478821820631
8,-0.0018455541187174,NaN
10,NaN,1.59054477469011
15,0.000816645394104977,NaN
25,0.00316424047794366,1.64014759239849
35,0.00585514574076461,1.56736644486158
50,0.0119007815121353,2.10138186092582
60,0.00561794464304801,NaN
65,NaN,5.09951353108115
75,0.152626685553952,NaN
80,NaN,3.85952454901033
95,0.157379171039789,NaN
100,0.15635759302548,4.14173010136426
150,NaN,4.72485290717171
200,NaN,5.04420371221119
250,NaN,3.43986531762911
300,NaN,4.40101484500918
