t,RIIp_2_Obs,AC_Fsk_Obs,RII_2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.158193497323982,-0.0776426186005389,0.0333681126458069,1.68706385298175,1.22809525537212
3,NaN,NaN,NaN,3.87489696323575,NaN
5.5,0.404941243209774,0.0546802451513056,NaN,NaN,1.44503751702433
6.5,NaN,NaN,NaN,7.74788779251683,NaN
7.5,NaN,NaN,0.0213436272714095,NaN,NaN
10,0.417590246747651,0.172118199138347,NaN,9.24958950780075,1.80330208998344
15,NaN,0.174102713519818,0.0180561861640929,9.75859618564348,1.56653705302575
20,0.479714073798593,NaN,NaN,9.05076473803874,NaN
25,0.410892855872568,0.131399693674666,0.0130706563221004,NaN,1.2402472348904
30,NaN,-0.0302489492974295,NaN,10.7414848395344,1.77964342130355
35,0.455080888866228,NaN,0.0205108981920066,9.99826987480867,NaN
40,NaN,0.217222777481542,NaN,9.3839862147382,1.74598673965666
45,0.47978517758528,NaN,0.0200118571219021,NaN,NaN
50,NaN,0.252280501629217,NaN,11.9443650027284,1.8230341753647
55,0.429963379281105,NaN,0.0169086224292743,NaN,NaN
60,NaN,-0.100031764312389,NaN,6.91577241317796,NaN
70,NaN,NaN,0.0179101683462981,NaN,NaN
75,NaN,-0.236562843417329,NaN,NaN,NaN
