t,AC_Fsk_Obs,RII_2_Obs
0,-0.0129394952041081,0.0296788478139147
7,0.00410190857968115,NaN
15,0.00800794212246368,NaN
20,0.00340829012684491,NaN
25,NaN,0.022100322301512
30,0.00268024061678541,NaN
40,-0.00939603789962333,NaN
45,NaN,0.0358786361379106
50,-0.00503635900058433,NaN
65,0.175210181880259,NaN
70,NaN,0.0261752639968679
80,0.168032153765322,NaN
95,NaN,0.0300191312948435
100,0.181858529806494,NaN
150,NaN,0.0236882239025897
200,NaN,0.0269236169346531
250,NaN,0.0441639098844129
300,NaN,0.0500952245424406
350,NaN,0.0573777874219005
450,NaN,0.0921141512251938
