t,AC_Fsk_Obs,Compound_1_Obs
0,-0.000158876683011974,0.022724417061404
9,-0.00608707571921754,NaN
15,NaN,-0.0018472539055898
20,-0.0036835625388248,NaN
25,NaN,0.011956028209706
30,-0.00177814634544641,NaN
40,0.0033600478429736,0.00827907120540998
55,-0.00210237898515937,0.00510377803311683
70,0.0740954575687279,0.173828720022794
90,0.0647378881528278,0.13678844670255
100,0.0660604337470882,0.146533451394423
150,NaN,0.182977724314849
200,NaN,0.175390518465474
250,NaN,0.19603980555981
300,NaN,0.17062270276613
