t,Compound_1_Obs,Compound_2_Obs
0,-0.0955446528500595,1.94452716981419
10,0.0073991004158665,NaN
20,NaN,0.823670789436408
25,0.030047334528907,NaN
35,0.052005490730252,NaN
40,NaN,-1.01047055325777
50,-0.0195336030683034,NaN
60,NaN,1.09459531837608
65,0.768040577317089,NaN
80,0.728495031230199,7.09577499269312
100,0.53366153971817,7.3655903817553
150,0.629791433586773,9.5248302793096
200,0.557411662551024,8.78866877927667
250,0.631368815515744,8.32353293731433
300,NaN,8.76660796822529
350,NaN,6.50045315673763
450,NaN,7.72896193554523
