t,RIIp_2_Obs,AC_Fsk_Obs
0,0.173303441179544,0.000312536730174122
8,NaN,0.00839313230394139
15,0.224350260688063,-0.00434623132573947
25,NaN,0.0040956212385603
35,0.278694633454768,-0.00253401010545194
45,NaN,-0.00514477081400936
55,0.226361599598738,NaN
60,NaN,-0.007232771529566
70,0.424786086067666,NaN
75,NaN,0.190831013692994
95,0.29934366186923,0.170648604322726
100,0.389259925002002,0.183705527256016
150,0.432920732018637,NaN
200,0.34052876941943,NaN
250,0.377747123473535,NaN
300,0.34529622299964,NaN
350,0.422008672679028,NaN
450,0.365448380707567,NaN
