t,AC_Fsk_Obs,RII_2_Obs
0,-0.156368821806784,-0.0197658173205369
3,-0.154665305815078,NaN
5.5,0.272921074168085,NaN
9,-0.181276842890016,NaN
10,-0.243043079795821,NaN
15,-0.0897131277092547,NaN
20,0.415215187018432,NaN
25,-0.155893226224125,0.0381657955691286
30,0.0305793582952902,NaN
50,NaN,0.0630948404954896
80,NaN,0.108037511668216
100,NaN,0.107081442047457
150,NaN,0.175358388378133
200,NaN,0.156224383157405
250,NaN,0.225851715645262
300,NaN,0.279743455789754
350,NaN,0.327164276489124
450,NaN,0.356392256697784
