t,RIIp_2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.266886452336441,-0.027462724976024,0.0946231332174483
4,NaN,NaN,8.00832458557919
5,NaN,0.524582768879808,NaN
8,0.247821264821851,NaN,NaN
8.5,NaN,NaN,7.90676436984393
10,NaN,0.562254717941854,NaN
15,0.340230569353425,0.707991103663032,10.8578705083616
20,NaN,0.717336513689605,9.31418170287743
25,0.337754652337442,NaN,5.37190455416326
30,NaN,0.565197991484677,8.649467020435
35,0.355860557648394,0.567302830734804,NaN
40,NaN,NaN,9.74399479777632
45,NaN,0.71980749613619,NaN
50,0.396333389424972,NaN,NaN
65,0.410816183183902,NaN,NaN
