t,IR2in_Obs,InsulinFragments_Obs
0,1.19156091500591,0
8,328.080228774657,NaN
10,NaN,16.2141330443394
15,446.483450007277,NaN
20,NaN,168.422774422634
25,211.108947898145,NaN
30,1034.80527242439,NaN
35,NaN,144.85806218885
40,183.644277773812,NaN
45,NaN,305.576213415043
50,475.597903807417,NaN
65,555.685771413114,273.810751238536
75,622.456876369328,NaN
80,NaN,510.606141976485
90,737.093117638453,NaN
100,365.111684305486,1197.5118524441
150,383.409404782597,881.139939508348
200,501.057898221682,1573.73090805725
