t,IR2in_Obs,InsulinFragments_Obs
0,0.0533653878435519,0
8.5,36.4821624560512,NaN
9,NaN,4.34841739231697
15,92.6358097819165,NaN
20,NaN,12.1135696908961
25,188.680890896856,17.1624421208212
35,123.563511723447,82.1431986160176
45,110.67205079126,NaN
50,NaN,348.591860018431
55,242.48860116549,NaN
60,NaN,182.243584841999
70,120.94775854891,NaN
75,NaN,84.667387684336
85,97.0019411320444,NaN
90,NaN,193.172155042756
100,50.7721133955796,399.427912345989
150,496.033391004113,495.86035560737
200,186.290053907971,884.895810117846
