t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs
0,0.000124789713742097,0.847431341525861,6.67014996526632e-10,0,0
0.095,NaN,1.09674572693331,NaN,NaN,NaN
0.15,0.0269585834008284,NaN,8.68489965319727e-08,NaN,0.165726379569806
0.2,NaN,0.0638578523967088,NaN,0.0531885932225978,NaN
0.25,NaN,NaN,NaN,NaN,1.79872637993929
0.3,NaN,0.0423299046968771,3.96686066687289e-07,NaN,NaN
0.35,0.0141573274841898,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,0.105948778557929
0.45,NaN,0.00114168506997611,NaN,0.108526117420175,NaN
0.5,0.0799888042911919,NaN,4.89466214066384e-07,NaN,NaN
0.55,NaN,0.000399715172529999,NaN,NaN,2.64336226867176
0.65,NaN,NaN,3.15665861421184e-07,NaN,NaN
0.7,NaN,NaN,NaN,0.281857979476957,NaN
0.75,0.0235706613201382,0.00102188772371518,NaN,NaN,0.183319498445133
0.85,NaN,NaN,1.30929338150927e-07,NaN,NaN
0.95,0.0386533860736896,0.00403844482991124,NaN,0.671911392735005,0.263696376313618
1,0.0809371783117574,NaN,1.32305008910147e-07,NaN,0.725934757444455
1.5,0.0358973164992405,NaN,7.27831601766289e-08,0.224470451340065,0.117784029885731
2,0.065297375754405,NaN,1.25141314473086e-08,0.273687737089623,0.317446792604167
2.5,0.0459627981893069,NaN,8.36218473231962e-09,NaN,0.715403039953753
3,NaN,NaN,6.67682201656732e-09,NaN,NaN
