t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs
0,0.000396137634044792,0.893752481845272,1.41999770739974e-09,0,0
0.085,NaN,0.0793436305502496,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,1.32967489697861
0.15,0.0675534035137477,0.212260655515486,NaN,NaN,NaN
0.2,NaN,NaN,1.92760438904347e-07,0.161036773648592,NaN
0.25,NaN,0.0137648068087335,NaN,NaN,1.13270855630369
0.3,0.0504093505278694,NaN,NaN,NaN,NaN
0.35,NaN,0.00372741882684382,NaN,NaN,NaN
0.4,NaN,NaN,7.09702142999276e-07,0.110834555728525,1.18202749353737
0.5,0.026532471093562,0.000607876966171679,NaN,NaN,NaN
0.55,NaN,NaN,NaN,NaN,0.203018916685601
0.6,NaN,NaN,7.06996207528132e-08,NaN,NaN
0.65,NaN,0.000505477556386693,NaN,0.685272631207255,NaN
0.7,0.0595600138273212,NaN,NaN,NaN,0.223445519567543
0.8,NaN,0.00173604094015353,NaN,NaN,NaN
0.85,NaN,NaN,4.45683060834578e-08,NaN,NaN
0.9,0.0127995968664782,NaN,NaN,0.144575235999258,0.217636852579531
0.95,NaN,0.00228697434906468,NaN,NaN,NaN
1,0.0179273599837518,NaN,9.39872054916986e-08,0.733944610705092,0.27824053483619
1.5,0.0446103726111267,NaN,1.29826746491916e-08,0.284013567595567,0.477823649329373
2,0.0402480294517124,NaN,3.02034866235817e-08,0.322455794311727,3.04612488921227
2.5,0.0366150268282577,NaN,1.08337215510462e-08,NaN,NaN
3,NaN,NaN,5.06900006448228e-10,NaN,NaN
3.5,NaN,NaN,5.96564136803459e-10,NaN,NaN
