t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs
0,4.27117339126339e-06,1.27887136286062,3.03035141065063e-10,0,0
0.085,NaN,0.0563382448772217,NaN,NaN,NaN
0.1,0.00243790828252502,NaN,NaN,NaN,0.330526458173286
0.2,NaN,0.00184905410988389,NaN,0.0223262377567814,0.172414221968276
0.25,0.00167355622296157,0.00639970227629678,9.39892426329921e-08,NaN,NaN
0.35,NaN,NaN,NaN,NaN,0.170102915681002
0.4,0.00429192050767008,0.00312919129741275,NaN,0.0177026395162678,NaN
0.45,NaN,NaN,NaN,NaN,0.81050096763329
0.5,NaN,0.000406786071531685,1.28152468072138e-07,NaN,NaN
0.55,0.00151843753097901,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,0.00763443625474748,0.276884183685652
0.65,NaN,0.00122524454702029,NaN,NaN,NaN
0.7,0.00120434080719658,NaN,NaN,NaN,NaN
0.75,NaN,NaN,1.93091566552175e-07,NaN,0.190129069230783
0.8,NaN,0.00120565579342394,NaN,NaN,NaN
0.85,NaN,NaN,NaN,0.00292529831742083,NaN
0.9,0.00078986282367052,NaN,NaN,NaN,NaN
0.95,NaN,0.00607684277045001,NaN,NaN,0.348774792625842
1,0.000544483352646709,NaN,5.41800786810452e-08,0.00602806762233691,0.38048473366538
1.5,0.0031161221524345,NaN,6.28151699836614e-09,0.00246948502557229,0.222389615545098
2,0.00305788891514972,NaN,1.8264148945954e-09,0.00284364021010635,0.757016368062728
2.5,NaN,NaN,1.04535063938368e-09,NaN,NaN
3,NaN,NaN,1.84588033339284e-09,NaN,NaN
3.5,NaN,NaN,3.89675371512762e-10,NaN,NaN
4.5,NaN,NaN,7.88256492897351e-11,NaN,NaN
