t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs
0,7.20307212760274e-05,0.446042999863871,7.26364915545167e-11,0,0
0.08,NaN,0.0187567837705365,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,0.874932695933571
0.15,0.371295775762314,0.000813520674909386,5.49646473224501e-08,NaN,NaN
0.2,NaN,NaN,NaN,1.69277001115052,NaN
0.25,NaN,0.000510606914464719,NaN,NaN,0.133298217505832
0.3,0.064388652816685,NaN,1.74721716410146e-07,NaN,NaN
0.35,NaN,0.00212019520258639,NaN,NaN,0.0484221409692825
0.4,NaN,NaN,NaN,0.487369509253303,NaN
0.45,0.0602434910717482,NaN,1.32156281653102e-07,NaN,NaN
0.5,NaN,0.00475130238887965,NaN,NaN,0.407202986141222
0.6,0.113508549374244,0.00480149011649565,8.76643242062745e-08,NaN,NaN
0.65,NaN,NaN,NaN,0.692849087740952,0.104823425808433
0.75,NaN,0.000956601685453201,NaN,NaN,NaN
0.8,0.113552372327258,NaN,2.7197559757008e-07,NaN,NaN
0.85,NaN,NaN,NaN,NaN,0.303365739518876
0.9,NaN,NaN,NaN,0.619689869574984,NaN
0.95,NaN,0.00105209366237529,NaN,NaN,NaN
1,0.098269852641145,NaN,8.72538629505663e-08,0.51934263529079,0.280366169664412
1.5,0.0545543733973344,NaN,2.88432875938821e-09,0.657497735193383,NaN
2,NaN,NaN,6.32901300941469e-09,0.468295566899691,NaN
2.5,NaN,NaN,9.12522308226559e-10,NaN,NaN
