t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs
0,0.000133419239869901,1.35597761798222,1.85646948959715e-10,0,0
0.08,NaN,0.00605317920717252,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,1.17368703789702
0.15,0.16689012314863,0.0113786721129477,2.88642334243948e-07,NaN,NaN
0.2,NaN,NaN,NaN,0.257058644953283,NaN
0.25,0.151283857317649,0.000267880825368259,NaN,NaN,4.37162946236875
0.3,NaN,NaN,4.82475289965884e-08,NaN,NaN
0.35,NaN,0.00188172438641402,NaN,NaN,0.261441377140852
0.4,0.137691762709885,NaN,NaN,0.472254918060722,NaN
0.45,NaN,0.00250808074806741,NaN,NaN,NaN
0.5,NaN,NaN,7.29456833269883e-08,NaN,0.217327185192642
0.55,0.0237205549408794,NaN,NaN,NaN,NaN
0.6,NaN,0.000726902568257904,NaN,NaN,NaN
0.65,NaN,NaN,1.2628925093686e-07,1.30926959990698,0.447403602121277
0.75,0.063325125125514,0.00107558184861694,NaN,NaN,NaN
0.85,NaN,NaN,1.09297371098107e-07,NaN,0.529336024144837
0.9,NaN,0.00100829110883771,NaN,1.51307780870438,NaN
0.95,0.12159148128831,NaN,NaN,NaN,NaN
1,0.0905699452413549,NaN,2.30907895444286e-08,0.384164272673862,0.0779375173102041
1.5,0.165427556326766,NaN,6.37395059686653e-08,0.528520859271346,0.319608502669729
2,0.144762036292159,NaN,7.14159044294755e-09,0.830897207723041,0.078971772768763
2.5,0.10809549871715,NaN,4.33358005809482e-10,NaN,NaN
3,NaN,NaN,3.24842388147538e-10,NaN,NaN
