t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs
0,0.000131776532407619,1.13166399106419,5.41851288406122e-11,0,0
0.095,NaN,0.00654738569216119,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,1.21351530892343
0.15,0.044372391018019,NaN,NaN,NaN,NaN
0.2,NaN,0.000782657375653286,NaN,NaN,NaN
0.25,NaN,NaN,1.0385055234194e-07,0.0102549117176536,0.359840146692914
0.3,0.00729973361693946,0.00172825980768056,NaN,NaN,NaN
0.35,NaN,NaN,NaN,NaN,1.59586830670294
0.4,0.00644482383243849,NaN,NaN,NaN,NaN
0.45,NaN,0.000550696018781288,NaN,NaN,NaN
0.5,NaN,NaN,NaN,0.117020044236294,0.476904105676834
0.55,NaN,0.00176978774828104,2.84430212206806e-07,NaN,NaN
0.6,0.0336019172385885,NaN,NaN,NaN,NaN
0.65,NaN,NaN,NaN,NaN,0.502974256106645
0.75,0.00159406204426516,0.000324591226558983,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.144191959923019,NaN
0.85,NaN,NaN,2.09160228706874e-08,NaN,0.491791029292529
0.95,NaN,0.00232991344654878,NaN,NaN,NaN
1,0.0159606274215647,NaN,2.91687799711998e-08,0.154886227263422,0.209196454540272
1.5,0.0246218499236824,NaN,7.95457138517138e-09,0.0600107895266744,0.218333850997839
2,0.0170148450522001,NaN,6.39287344942274e-09,0.207445052276935,3.03302737835669
2.5,NaN,NaN,2.85344814970958e-09,NaN,NaN
3,NaN,NaN,3.06286756585717e-10,NaN,NaN
3.5,NaN,NaN,1.56755855533384e-10,NaN,NaN
4.5,NaN,NaN,9.71908931054945e-11,NaN,NaN
