t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs
0,5.10251209333361e-07,0.86176878354923,2.73874143889172e-10,0,0
0.085,NaN,0.211905104798251,NaN,NaN,0.62697868135528
0.1,0.000478059280736738,NaN,NaN,NaN,NaN
0.15,NaN,0.00509807564885638,NaN,NaN,0.345990669665334
0.2,NaN,NaN,NaN,0.00300705684701766,NaN
0.25,0.000452464796374441,0.000960569076656408,NaN,NaN,0.161152364372315
0.3,NaN,NaN,2.48110566283079e-07,NaN,NaN
0.35,0.000150526170461758,0.000989299298621781,NaN,NaN,0.391333338201429
0.45,NaN,NaN,NaN,0.00087026792491147,0.97534865927668
0.5,0.000366428290174963,0.00102455032418441,NaN,NaN,NaN
0.55,NaN,NaN,1.28353369014035e-07,NaN,0.153136502570602
0.6,NaN,0.000542093151580736,NaN,NaN,NaN
0.65,9.80476943947325e-05,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,0.00240425363787765,0.762132269092117
0.8,NaN,0.000332824931783914,NaN,NaN,NaN
0.85,0.00023823674927467,NaN,NaN,NaN,0.324986268261386
0.9,NaN,NaN,3.78673907943119e-08,NaN,NaN
0.95,NaN,0.000714407332846737,NaN,0.00039751265717894,NaN
1,4.41449646796784e-05,NaN,2.54768455527827e-08,NaN,0.915274511163805
1.5,9.80480941929388e-05,NaN,1.11582563657817e-08,0.000615825826297128,0.707673775131848
2,0.000582638564054861,NaN,2.64107275491958e-09,0.000872811241493247,0.145180124386821
2.5,NaN,NaN,7.92001824789166e-10,NaN,NaN
3,NaN,NaN,3.12179503484495e-10,NaN,NaN
4,NaN,NaN,8.29017725632881e-11,NaN,NaN
4.5,NaN,NaN,1.91485755556823e-10,NaN,NaN
