t,IPR_O_Obs,IPR_R_Obs,IPR_I1_Obs,IPR_S_Obs,IPR_A_Obs
0,0.000268104455353854,0.170726479091441,3.99020341253549e-11,0,0
0.095,NaN,0.021132800746545,NaN,NaN,NaN
0.15,0.040382224345314,NaN,4.81718877968933e-07,NaN,0.827870538930536
0.2,NaN,0.00229729905759852,NaN,0.274300084135194,NaN
0.25,0.127705326381811,NaN,NaN,NaN,NaN
0.3,NaN,0.000871833760681485,2.35052019720674e-07,NaN,0.324735202716706
0.35,NaN,NaN,NaN,0.188442367538442,NaN
0.4,0.100301480069465,0.00305602087634947,NaN,NaN,NaN
0.45,NaN,NaN,9.58132597548435e-08,NaN,0.112348245798721
0.55,0.0168556202763096,0.00240635227631115,NaN,NaN,NaN
0.6,NaN,NaN,9.54404209195742e-08,4.30108814024889,0.137837852583569
0.7,0.231803023651754,0.000822493681434817,NaN,NaN,NaN
0.8,NaN,NaN,6.7244704567979e-08,0.960260306038787,0.124572563877957
0.9,0.0393848138084784,0.00268132837675481,NaN,NaN,NaN
0.95,NaN,NaN,1.56112132528937e-08,NaN,NaN
1,0.0165917362598312,NaN,2.57396898915004e-08,0.779203167073089,0.660078798707235
1.5,0.0921386057322257,NaN,1.11624636220251e-08,0.974090180330159,0.213091184404582
2,0.022610083870419,NaN,3.276301696024e-09,NaN,0.266612114614651
2.5,0.0323944534575032,NaN,9.9856717331584e-10,NaN,2.33027852414491
3,NaN,NaN,3.15550433636762e-09,NaN,NaN
