t,nSTAT5_Obs,CISHnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs
0,0,7.08392959136488e-05,0.0359716952339993,0.000312535549464045
10,NaN,NaN,NaN,0.00266680484070989
15,0.304254022496701,NaN,0.0686047124474552,NaN
25,NaN,0.00038006734763153,NaN,0.000386904272628521
30,NaN,NaN,0.026511666900541,NaN
35,4.83493919172155,NaN,NaN,NaN
40,NaN,NaN,NaN,0.000667971824819206
50,12.278715701681,0.0011289805988917,0.0418223875022388,0.000562227149280914
70,12.4498197239534,NaN,0.148472565424107,0.00122456461781312
75,NaN,0.000788730255874254,NaN,NaN
90,4.33381414003757,NaN,0.162902633668524,0.000210721353472745
100,13.2372156627328,0.00108239329470008,0.274421748259185,0.000673120443770999
150,3.90898282093415,0.000299293025754216,0.51439965357428,0.000652009641103495
200,1.45818720476191,0.000155345439060562,0.803460103411134,NaN
250,3.91991895203419,0.000123023701817845,0.104839193402206,NaN
300,2.32595794900259,0.000334483326503112,NaN,NaN
350,2.70323572226234,0.00107175114700385,NaN,NaN
