t,epo_level,EpoRpJAK2_Obs
14,6.6667e-07,0.00428515197770845
14,6.6667e-07,0.00532608434668487
14,1.3333e-06,0.00616445501624743
14,1.3333e-06,0.00605454374347902
14,2.6667e-06,0.00491630226872538
14,2.6667e-06,0.00508995462609388
14,5.3333e-06,0.00495488178772368
14,5.3333e-06,0.00477693108986977
14,1.0667e-05,0.00527115031626935
14,1.0667e-05,0.00532428422427199
14,2.1333e-05,0.00410146647590645
14,2.1333e-05,0.0041840980761925
14,4.2667e-05,0.0049984666413648
14,4.2667e-05,0.00546490748762704
