t,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0,0.0102690681537614,2.31518263522286e-05,0.091038456664457,0.0237004431816199,0.00353929754178707
9.5,2.04176154789393,NaN,NaN,NaN,NaN,NaN
10,NaN,4.7601129893117,NaN,0.127131678485861,NaN,NaN
15,NaN,NaN,0.0011126624096352,NaN,0.0141802009932403,0.00784695441754094
20,2.85085039537744,5.09425576201316,NaN,NaN,NaN,NaN
25,NaN,NaN,0.0284561474324009,0.216792176640953,NaN,NaN
30,26.3721965372873,18.7916705200021,NaN,NaN,0.034030184388392,0.015394051136797
35,NaN,NaN,NaN,0.699515976329569,NaN,NaN
40,1.79108450095878,NaN,0.0193236622577763,NaN,NaN,NaN
45,NaN,23.9252501714066,NaN,NaN,0.0200572934652762,0.0106831347218763
50,2.40186713316528,NaN,NaN,4.3277257633601,NaN,NaN
55,NaN,10.4342326122179,NaN,NaN,NaN,NaN
60,NaN,NaN,0.0288837222379124,NaN,NaN,NaN
65,3.36397094454984,NaN,NaN,16.6257847740237,0.101176562080282,0.00697660183380766
70,NaN,5.02738470272098,NaN,NaN,NaN,NaN
80,9.84670603193256,NaN,0.0696708859415277,8.406393535194,NaN,NaN
85,NaN,NaN,NaN,NaN,0.0203529060616143,0.0122385259195396
90,NaN,12.4314145661765,NaN,NaN,NaN,NaN
95,11.4774735563735,NaN,NaN,45.1012492495347,NaN,NaN
100,3.2136176053069,4.62639841363608,0.0124253508712087,40.6823055168915,0.0328298625183043,0.00754622707159876
150,4.04986429137618,1.10620576064683,0.0273410283101762,34.1777264072487,0.016204709846725,0.0160370112629187
200,3.44997699426212,1.81082500755435,0.0113805265228894,5.54235752178732,0.00992139203929739,0.0551606626643102
250,NaN,NaN,NaN,19.0493502530229,NaN,0.0105653321185691
300,NaN,NaN,NaN,36.2476278431177,NaN,NaN
