t,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA5_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0,0.000149129442533456,7.21717186263378e-05,0.268524163887789,0.00996331208277785,0.00290859794774204
10,NaN,NaN,NaN,0.203966814176067,NaN,NaN
15,0.00303241302208245,0.0224676510488339,6.08922820933532e-05,NaN,0.0066037929987648,NaN
20,NaN,NaN,NaN,0.0413222272463066,NaN,0.00544381656508133
30,0.0120886096407161,0.187827608661909,NaN,NaN,NaN,NaN
35,NaN,NaN,2.09389354914701e-05,0.0598334016982924,0.00554547108525587,NaN
40,NaN,NaN,NaN,NaN,NaN,0.0147144335666094
45,0.135848034949083,0.144537830772193,NaN,0.0522882148758627,NaN,NaN
50,NaN,NaN,0.000210748812383316,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.00196228263708412,NaN
60,NaN,NaN,NaN,0.04481906136089,NaN,0.0114955094980334
65,0.38688717730821,0.0725950537539669,NaN,NaN,NaN,NaN
75,NaN,NaN,0.000315289734869918,0.608144024142409,0.00106047672685627,NaN
80,NaN,NaN,NaN,NaN,NaN,0.0245925505256265
85,0.0517900302529542,0.580768406830867,NaN,NaN,NaN,NaN
95,NaN,NaN,0.000718138702884313,0.224904658592686,NaN,NaN
100,0.0622283440687065,0.0956586228871114,0.000147173640235772,0.582181432639565,0.00271160780302042,0.0024527252525555
150,0.286589246220095,0.0312438045156623,0.000405094218175335,0.491531897062557,0.0056343356115645,0.00356251105122089
200,0.0861873726574489,0.0224819384655628,9.43917840722843e-05,0.191809439122324,0.0263777987653351,0.00172746231704928
250,0.0545875395266459,0.0624903693870069,0.000341505235330483,NaN,0.00566691383790552,0.0128904109766603
300,0.0951795019720661,0.0247801327739982,NaN,NaN,NaN,0.00616970918510265
