t,CISHnRNA3_Obs,SOCS3nRNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,6.16139807239685e-05,0.0002175277689673,0.00935089789396239,0.628797639623909
15,NaN,NaN,NaN,0.143881205864439
20,NaN,0.000970036370894572,NaN,NaN
35,NaN,NaN,NaN,0.432266135341589
40,NaN,0.000418245025993815,NaN,NaN
45,NaN,NaN,2.62316182914286,NaN
55,NaN,NaN,NaN,2.00623179542034
65,NaN,0.00032536261910418,NaN,NaN
75,0.000673727955096477,NaN,NaN,0.894605195187933
90,NaN,0.000461062763212554,7.6653986152771,NaN
100,NaN,0.000244417031146535,NaN,0.788531980701879
150,0.0001945371101125,0.000263002031797205,7.38000534048252,0.392830650240584
200,NaN,0.000334601760206347,18.4197327050425,0.779108186613749
250,0.00108987194106281,0.000373701083225417,9.03455106186717,0.778109901367639
300,0.000384567328444717,NaN,0.616630680455968,NaN
400,0.000578852462689296,NaN,2.37195031581194,NaN
500,0.00284826392377991,NaN,4.33012254016748,NaN
600,NaN,NaN,3.34012894603688,NaN
650,0.000216312407101618,NaN,NaN,NaN
750,NaN,NaN,2.56062330115449,NaN
800,6.53285065436984e-05,NaN,NaN,NaN
900,NaN,NaN,10.9542371780563,NaN
950,0.000548859727280709,NaN,NaN,NaN
1000,0.000210074383529248,NaN,NaN,NaN
