t,CISHnRNA3_Obs,SOCS3nRNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000155084259792739,0.000291694395787346,3.10652844066303e-05,0.291554505255477
15,5.04983804954798e-05,7.39047601550756e-05,2.51191920744178e-05,0.674442939020299
30,5.09058263755798e-05,0.000261683758583759,1.7293028715461e-05,0.320149630753127
45,NaN,0.000604501778293569,4.40017377221603e-05,0.687603226001614
50,9.21801468179534e-05,NaN,NaN,NaN
60,NaN,0.000195333868045337,4.68768666868683e-05,0.469284760634334
70,4.11815711065771e-05,NaN,NaN,NaN
80,NaN,0.000169697685059735,4.22841459445645e-05,0.117693121957349
95,5.9859437561005e-05,NaN,NaN,NaN
100,0.000149651213680264,0.00143548281525912,9.35186339090217e-05,0.710571931561857
