t,CISHnRNA5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,4.95971514801245e-05,0.000181564034437796,0.0689210315820889,0.0077932384029383,0.0088533624737331,5.4352957938581e-05
3,NaN,NaN,NaN,NaN,NaN,4.13797335438033e-05
3.5,4.65955952761881e-05,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,0.00545543881618967,0.00774663224257956,NaN
6.5,NaN,NaN,NaN,NaN,NaN,3.5881317381804e-05
7,4.2818815271604e-05,NaN,NaN,NaN,NaN,NaN
10,4.03213749403885e-05,0.00015047629246956,NaN,0.00397664915400839,0.00697213574199679,2.25966327258484e-05
15,2.30465407623668e-05,NaN,NaN,0.00276918816947456,0.00475188804800432,1.97888825693483e-05
20,1.90843788887845e-05,0.000132188661189004,0.0722933346271094,0.00234227081420618,NaN,1.52852149863168e-05
25,1.52900825757684e-05,NaN,NaN,NaN,0.00499606357256526,1.42778778961145e-05
30,1.8684809034269e-05,NaN,NaN,0.00208266036074207,0.00396439732994987,1.43734197233789e-05
35,1.49004735367484e-05,7.64001998636857e-05,NaN,0.00290033274590893,NaN,1.40241666584682e-05
40,NaN,NaN,NaN,NaN,0.0024525817582976,2.06205443447919e-05
45,1.66428414185736e-05,NaN,0.0580216020774178,0.0023234880062026,NaN,NaN
50,1.57072373371843e-05,6.03341285825114e-05,NaN,NaN,0.00248352608742917,1.65820028047553e-05
55,NaN,NaN,NaN,0.00228136840145704,NaN,NaN
60,1.57679240602186e-05,NaN,NaN,NaN,NaN,1.91258629699318e-05
65,NaN,NaN,NaN,0.00284767167731779,NaN,NaN
70,1.30272716977657e-05,7.16431301591558e-05,0.0539264382400659,NaN,NaN,NaN
80,NaN,NaN,NaN,0.00253745232166762,NaN,NaN
95,NaN,NaN,0.046421797605823,NaN,NaN,NaN
150,NaN,NaN,0.0308146899471712,NaN,NaN,NaN
200,NaN,NaN,0.0263396280417148,NaN,NaN,NaN
250,NaN,NaN,0.026415624918969,NaN,NaN,NaN
300,NaN,NaN,0.0219465955536452,NaN,NaN,NaN
400,NaN,NaN,0.024285491078905,NaN,NaN,NaN
