t,EpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA5_Obs,CISHRNA_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,0.00257790948874581,-0.0180448358877251,1.39566109741124e-05,0.00013277648823252,0.000417032586947929,-0.418953730795391
30,NaN,NaN,NaN,NaN,0.000424013253798505,NaN
45,0.0874255125321691,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,6.81478361689834
55,NaN,0.703730149650739,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,0.0011415320547719,NaN,NaN
65,NaN,NaN,NaN,NaN,0.000562950301959065,NaN
85,NaN,NaN,0.000570903978023814,NaN,NaN,NaN
95,0.125201170463231,NaN,NaN,NaN,NaN,5.60460273944573
100,NaN,0.600271536009867,NaN,NaN,0.00038104520213576,NaN
150,0.135157263104193,NaN,0.000538456232362092,0.000957892484140685,0.000512972512068665,5.11497514777746
200,0.170521875253284,0.506762003747202,NaN,0.000936725257096781,0.000433260143815083,3.9832442403127
250,0.187671183749432,0.619433008317639,0.000422435394998248,NaN,0.000531335742468926,4.26075539886762
300,0.222328751577618,0.43972030620706,NaN,0.000726505902044275,0.000490701878925482,NaN
350,NaN,NaN,0.000409322060400933,0.000916159177785566,NaN,3.59452103289585
400,0.213617226394404,0.410094300486006,NaN,NaN,NaN,3.98214536583364
450,NaN,NaN,NaN,0.000919218836781078,NaN,NaN
500,0.182432626210902,0.358469299854156,0.000402626025219199,NaN,NaN,3.90137310203585
600,0.214320132589453,0.436547037982909,NaN,NaN,NaN,NaN
650,NaN,NaN,0.000465061065894763,NaN,NaN,3.76700546237839
700,0.220578670582727,NaN,NaN,NaN,NaN,NaN
750,NaN,0.459739711998099,NaN,NaN,NaN,3.54824494771366
800,NaN,NaN,0.000432752344173218,NaN,NaN,NaN
900,NaN,0.386629784884526,NaN,NaN,NaN,3.75683437507617
1000,NaN,NaN,0.000333113116197519,NaN,NaN,NaN
