t,epo_level,nSTAT5_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs
10,0,0,3.78390071372547e-05,0.000986673124836123
10,0,0,7.74357428168318e-05,0.00156396232084068
10,4.2857e-08,0.00190834869218358,5.74781705373679e-05,0.00059091666417439
10,4.2857e-08,0.00660457821659623,3.27584362686775e-05,0.000315713655637779
10,1.4286e-07,0.0157139128225975,0.000154204490825785,0.000207340400026711
10,1.4286e-07,0.025921018517766,9.07673295816677e-05,0.00112737594495262
10,4.2857e-07,0.052009884536563,3.73488369329149e-05,0.000315449907215012
10,4.2857e-07,0.0750651083011076,3.60986105993047e-05,0.000490487810309171
10,1.4286e-06,0.28550145171992,0.000110491845145962,0.00028366200543966
10,1.4286e-06,1.57902837388562,4.31491416040397e-05,0.000392739261512021
10,4.2857e-06,1.37330086589755,2.71496928655544e-05,0.000289646397878877
10,4.2857e-06,1.37800269699701,5.43525900223894e-05,0.00043342484211475
10,1.4286e-05,0.479364328583986,5.54464111279019e-05,0.000202586883828205
10,1.4286e-05,1.93405623403131,1.98561380638628e-05,0.000197304008320466
10,4.2857e-05,0.569161860869925,6.10980496684172e-05,0.000731062942912065
10,4.2857e-05,1.78592228382034,8.84051989057701e-05,0.000134599742389327
