t,nSTAT5_Obs,npSTAT5_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs
0,0,0.00645438624792958,0.000123599116065296,0.00496792677736963,0.00576047263976485
7,0.453847406814619,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.00474018959596228,NaN
9.5,NaN,NaN,0.000202926509343517,NaN,NaN
10,NaN,7.23643294802762,NaN,NaN,0.00370286769754461
15,3.33987045842604,NaN,NaN,0.0525550422387372,NaN
20,4.78836344274548,7.1752596459924,0.000935031511662992,NaN,NaN
25,NaN,NaN,NaN,0.0234650815295811,0.0255555336265271
30,6.29535839648062,0.683820103808182,0.00585129632557038,NaN,NaN
35,5.78973865685604,NaN,NaN,0.0195857773602655,0.015885112839525
40,NaN,3.51616400041225,0.0650009563719461,NaN,NaN
45,8.05190310494991,NaN,NaN,0.0278008124753381,NaN
50,NaN,NaN,0.00833781424242755,NaN,0.00799256982284996
55,2.28460388024589,2.49868494562367,NaN,NaN,NaN
60,NaN,NaN,NaN,0.0425938339687585,NaN
65,NaN,NaN,0.0222223798075797,NaN,0.0243232668305068
70,10.5987674329638,4.86479929175329,NaN,NaN,NaN
75,NaN,NaN,NaN,0.0254049276967061,NaN
80,NaN,NaN,0.00804470576492202,NaN,0.0195450561433708
85,8.9984654231336,4.58740551143623,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0347113038478746,NaN
100,4.02971878871855,1.75595033291958,0.00566568801187265,0.0168159834978496,0.0276042178009589
150,1.90765138231152,5.63878801410481,0.0346440688435102,0.00265977577062107,0.00981102580380807
200,NaN,2.21742559707494,0.006057774502307,NaN,0.0369041498156993
