t,CISHnRNA3_Obs,SOCS3nRNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,3.90144409212157e-05,0.00545103201330298,4.18660198242233e-05,0.613203624307228
3.5,4.31773769872297e-05,NaN,NaN,NaN
4,NaN,NaN,9.91720020527868e-05,NaN
5,NaN,0.013234474782818,NaN,NaN
7.5,8.8639437120844e-06,NaN,NaN,NaN
8.5,NaN,NaN,6.65749366726739e-05,NaN
10,1.86018926162827e-05,0.00904623851313312,NaN,0.955408496044769
15,4.12147480810713e-06,0.00454377768474353,4.57862192545661e-06,NaN
20,3.62646395444569e-06,0.00184315551132948,8.58154286580598e-06,1.84556080585324
25,7.11120504241964e-06,0.00509390844108976,3.10992167946762e-05,NaN
30,NaN,NaN,5.74577456237033e-06,NaN
35,1.4318713329212e-05,0.0177072914519056,1.16709201192841e-05,0.558844920608824
40,6.68654862299018e-06,NaN,NaN,NaN
45,NaN,0.00077754829556923,5.78244295532194e-06,0.754099869183564
50,4.11075601125057e-05,0.00827248708400105,NaN,NaN
55,NaN,NaN,6.464357199671e-06,NaN
65,1.52883778210823e-05,0.0013598384455945,3.11411791455653e-05,0.273437246290144
75,NaN,0.00187553362951241,NaN,NaN
80,NaN,NaN,2.50477232225271e-05,NaN
85,NaN,NaN,NaN,0.874705199505297
