t,epo_level,EpoRJAK2_Obs,CISHnRNA3_Obs
36,2.5e-09,2.47152962771079,0.0383384806470452
36,2.5e-09,2.67911491409541,0.0387427283201096
36,2.5e-09,2.61632914379561,0.0333294091613429
36,2.5e-08,3.83769927866544,0.0260412237452328
36,2.5e-08,4.30524484195886,0.0271446210757072
36,2.5e-08,4.36357316075256,0.0278526243818758
36,1.25e-07,2.58016524680841,0.0366396612422856
36,1.25e-07,1.78930768663627,0.031270636963091
36,1.25e-07,1.91262877269835,0.0412605365383222
36,2.5e-07,4.09942486544492,0.0313819918432732
36,2.5e-07,3.94783956554368,0.0367631913204309
36,2.5e-07,4.20764450295075,0.0285497829978693
36,1.25e-06,4.50572696302097,0.00672618768650812
36,1.25e-06,4.66204943864524,0.0117848703043595
36,1.25e-06,4.29165228348685,0.00637514357768607
36,2.5e-06,4.40875154277079,-0.00260773856620666
36,2.5e-06,4.03182980208002,-0.000143878523077826
36,2.5e-06,4.61188286476558,-0.000503189099310619
