t,EpoRpJAK2_Obs,CISHRNA_Obs,Compound_1_Obs
0,0.00205237445463352,8.14483522473342e-05,0.0206837873587976
50,NaN,0.000152511038581836,0.382130080467798
70,0.0153599341292207,NaN,NaN
100,NaN,0.000155885224914118,0.379858577863816
150,0.0252517561243773,0.000170982748021054,0.331931608478473
250,0.0281314371384962,0.000132819618991998,0.268499191578292
300,NaN,0.000146486253618159,0.250079594027476
350,0.0292128788818799,NaN,NaN
400,NaN,0.000139770000612561,0.276001973814609
450,0.0287880923098822,NaN,0.254458321248423
500,NaN,0.000138805989511896,NaN
600,0.0269072279944368,0.000156122562281687,0.30733369623243
700,NaN,NaN,0.229590354628327
900,NaN,NaN,0.290124350713814
