t,epo_level,npSTAT5_Obs,SOCS3nRNA3_Obs
120,2.5e-09,0.421253133380767,0.00289412840826538
120,2.5e-09,0.671519021551402,0.00318005401736519
120,2.5e-09,0.943929951039538,0.0123611855705689
120,2.5e-08,2.79047078326315,0.0332582357777677
120,2.5e-08,3.88219680005074,0.00784660756615296
120,2.5e-08,4.91420864121291,0.00366916921649044
120,1.25e-07,1.51795508487287,0.027327651930592
120,1.25e-07,2.08084446991043,0.00712457923050993
120,1.25e-07,2.38580593262294,0.0304593249543006
120,2.5e-07,1.39169692274701,0.00406687918389197
120,2.5e-07,1.82056721861977,0.0593820922134326
120,2.5e-07,7.79287785693905,0.0171814352441983
120,2.5e-06,4.11035940578205,0.0167608719466239
120,2.5e-06,11.3809641092898,0.0225374852932428
120,2.5e-06,12.9228346413554,0.0272538777775912
