t,EpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA5_Obs,CISHRNA_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,0.0298698309364714,-0.026852146917872,0.000133653666135941,7.74480909829833e-05,0.000523769885817099,-0.769662919542207
20,NaN,NaN,NaN,NaN,0.000492935142293506,NaN
35,NaN,NaN,NaN,NaN,0.000470161333625397,NaN
50,NaN,0.948162229641932,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,0.000427343142367019,6.5928797901269
75,NaN,NaN,0.000649293199252793,NaN,0.000491834187674124,NaN
85,0.173221417854823,NaN,NaN,NaN,NaN,NaN
100,NaN,0.782925685389038,NaN,0.00121931176046527,0.000487217149165914,5.94830468917632
150,0.232275185062637,0.596553398913133,0.000548870725200713,NaN,0.000393266563378358,5.44315831733768
200,NaN,0.538135579794961,NaN,0.00101169813238751,0.000496888099994284,NaN
250,0.270001835396809,NaN,0.000462118072357714,NaN,0.000443152579359694,4.82788778670843
300,NaN,0.578870071743773,0.000495970650731904,0.00108359566098102,NaN,4.81739652054028
350,0.257701291163424,0.612763249178518,NaN,NaN,NaN,NaN
400,NaN,NaN,0.000473482274855771,NaN,NaN,4.66263758776597
450,0.296056783771057,0.611858073952363,NaN,0.000944740838685509,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,5.36591656345383
550,NaN,0.45625166123644,0.000473528447702272,NaN,NaN,NaN
600,0.280041077207139,NaN,NaN,0.000838630287410518,NaN,5.16909326859131
650,NaN,0.561620456749888,0.000564249028504234,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,NaN,4.64186669131193
750,0.320132476812512,NaN,NaN,0.000949663049037688,NaN,NaN
800,NaN,0.588958096559732,0.000501654476470312,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,5.16002824071347
900,0.272847010645749,NaN,NaN,NaN,NaN,NaN
950,NaN,0.521778913848769,0.000516558611226082,0.00091867233546251,NaN,NaN
1000,0.274297630297425,NaN,0.000519646650229512,0.000864022608569834,NaN,4.25452531821482
1500,0.266928125168766,NaN,NaN,0.000873662018245941,NaN,NaN
