t,epo_level,nSTAT5_Obs,SOCS3nRNA1_Obs
5,2.5e-09,0.000138465110821656,0.00687344249989186
5,2.5e-09,0.000194326300083554,0.0118893781987924
5,2.5e-09,0.000721407718167645,0.00734736805096294
5,2.5e-08,0.0023135712941143,0.0172133399692962
5,2.5e-08,0.00590217804000309,0.00399831094433845
5,2.5e-08,0.00777072197529187,0.00423788630629442
5,2.5e-07,0.119537771071423,0.0156606491442468
5,2.5e-07,0.35315744084484,0.00316827926434551
5,2.5e-07,0.489839310892582,0.00794334407474061
5,2.5e-06,0.202206687729611,0.00260942797700021
5,2.5e-06,0.394333333639297,0.00675339371835235
5,2.5e-06,0.438962576927555,0.00616567114451154
5,2.5e-05,0.904605993848155,0.00461439739888475
5,2.5e-05,0.951033162481376,0.00834885619763442
5,2.5e-05,1.33421338091226,0.0275937881373425
