t,EpoRJAK2_Obs,nSTAT5_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_2_Obs
0,4.46448501336216,-0.0940324458991969,0.000266090620182638,0.00289800484313559,0.564552393137429,0.0117093153107588
15,3.6613402591803,2.31850520435214,NaN,NaN,NaN,NaN
20,NaN,NaN,0.00529928345886227,NaN,0.489628649579056,NaN
25,4.27989596582913,NaN,NaN,0.00906208371056267,NaN,0.0154942721256559
30,NaN,7.50438915074787,NaN,NaN,NaN,NaN
40,4.45098013535729,NaN,NaN,NaN,0.763587549623032,NaN
45,NaN,NaN,0.0102672747708433,0.0104761267815639,NaN,NaN
50,NaN,9.66980679219534,NaN,NaN,NaN,0.0303082860799122
55,3.86404075721517,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,1.05188215687211,NaN
65,NaN,8.74382317210337,0.00823342077217498,NaN,NaN,NaN
70,NaN,NaN,NaN,0.00923151644333504,NaN,NaN
75,4.48113989191826,NaN,NaN,NaN,NaN,0.0348171314824168
85,NaN,8.15019494780893,NaN,NaN,1.67061174556144,NaN
95,4.31800530588135,NaN,0.00549032611089431,0.00656785795091421,NaN,NaN
100,4.37820105846033,6.42608377658295,0.00560822239097981,NaN,1.73082397492572,0.0327551411017406
150,3.59065702630077,4.58154675224116,0.00510852782831575,0.00586205238180725,1.14890342450971,0.0223826708188876
200,4.61204150284847,3.61041235163902,0.00504451923011525,0.00477867895160619,1.00574490868176,0.02341208117694
250,NaN,3.89245950271177,0.00291457454465386,0.00390833756251991,0.966238553783839,0.0161975893772021
300,NaN,3.22714908148386,0.00397787832482968,0.0047586254678729,0.674407585836721,0.0211461994080366
350,NaN,4.68367305733221,NaN,0.00452126090812136,0.883453033249016,0.0183732911442936
400,NaN,NaN,NaN,0.00415962772979836,NaN,NaN
