t,EpoRJAK2_Obs,nSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA3_Obs,CIS_Obs
0,0.130548769528745,-0.0201638068205541,5.19871093246301e-05,5.07577573350828e-05,0.0283889376559271
10,NaN,NaN,NaN,5.71256254925523e-05,NaN
15,0.00352003890606751,0.170852452589098,8.35277356416773e-05,NaN,0.0347289182406741
25,NaN,NaN,9.87852407729799e-05,8.1385507405229e-05,NaN
30,0.00754180911332706,0.353315850638024,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,0.0338404986383449
40,NaN,0.398537148058769,9.58049231513933e-05,9.89450275669508e-05,NaN
45,0.00661081177392861,NaN,NaN,NaN,NaN
55,NaN,NaN,0.000100112786043822,0.000107173595165906,0.0402115666752493
60,0.0088227833933363,0.380058565009204,NaN,NaN,NaN
70,NaN,NaN,NaN,7.68758948964046e-05,NaN
75,NaN,0.367298181977677,9.2465472366232e-05,NaN,0.0429376223371772
80,0.0100495481106672,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,9.44754875137711e-05,NaN
95,0.0133878080055568,0.310016456932764,8.57809462061944e-05,NaN,NaN
100,0.00708052130223097,0.351821703467478,9.02536247073323e-05,7.66686102656556e-05,0.0490503864359551
150,0.0171627872488682,0.276265623359435,7.65381512451866e-05,8.4922538523477e-05,0.0598026151061464
200,0.0168978344025053,0.304743717883146,8.87705694209304e-05,7.15009136711661e-05,0.0631165658885512
250,0.0176731889637518,0.276017305689608,8.79725857733515e-05,8.46784916172758e-05,0.063290027245064
300,0.0221264305856353,0.350985531560541,NaN,NaN,0.0514372458996271
