t,EpoRJAK2_Obs,nSTAT5_Obs,CISHnRNA3_Obs,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_2_Obs
0,4.2769805314449,-0.863533641630539,-0.00120337876473321,0.00932189402914347,1.69381220132882,0.0358911060013979
15,3.38921918383598,2.44140294726107,0.00645920742947548,NaN,1.85525807536803,NaN
20,NaN,NaN,NaN,NaN,NaN,0.0460847860093725
25,4.39518393791616,NaN,NaN,0.0260887078692993,NaN,NaN
30,NaN,7.4714489184181,NaN,NaN,1.59305125676999,NaN
35,NaN,NaN,0.0256596057837693,NaN,NaN,NaN
40,4.08388604897292,NaN,NaN,NaN,NaN,0.0692372490403951
45,NaN,NaN,NaN,NaN,2.35894339838954,NaN
50,NaN,8.32580055508243,NaN,0.0310102682296838,NaN,NaN
55,3.64910871645191,NaN,0.027438560275592,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,4.09145136796863,0.10536613573838
70,NaN,8.24080515590721,NaN,NaN,NaN,NaN
75,4.91218275211181,NaN,0.0216761878195878,0.0219785118417318,NaN,NaN
80,NaN,NaN,NaN,NaN,4.70849689113452,NaN
90,4.11707325980735,6.05258072409182,NaN,NaN,NaN,0.0919791242878808
95,NaN,NaN,0.0163429926381499,NaN,NaN,NaN
100,5.09613295801391,6.63678256767115,0.0163490946634516,0.0196574203556319,4.95733677027255,0.102746369321522
150,4.7133211837399,2.95011982653156,0.0127939697169039,0.0138394950751169,3.57735750187576,0.0850931075577226
200,4.22472428638429,3.18402135532493,0.00848279808496198,0.0135806992631912,3.2251997858169,0.0581650310151645
250,NaN,3.724375208384,0.00522146565148584,0.0138990959329404,2.73931564076221,0.0653781607281424
300,NaN,NaN,0.00922472058150064,0.0137630866276105,2.5769155347286,0.0574373124092655
350,NaN,NaN,NaN,0.0123571067554359,NaN,NaN
