t,CISHnRNA5_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3_Obs,Compound_1_Obs
0,5.42832910182905e-05,9.01677030678251e-05,0.000475154519811476,0.00046655376260721,0.413574897957897,4.51131592740144e-05
2.5,NaN,NaN,NaN,NaN,NaN,4.89671713075255e-05
3.5,NaN,NaN,0.000209058679829487,NaN,NaN,NaN
4,4.63842882541065e-05,NaN,NaN,NaN,NaN,NaN
5,NaN,NaN,NaN,0.000222502245623321,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,4.17405798949627e-05
7,NaN,NaN,NaN,NaN,0.393256760502137,NaN
7.5,4.71724087628125e-05,NaN,0.000222994451088335,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,3.36852062631413e-05
10,3.6388249310538e-05,8.64507870747262e-05,0.000210325994580198,0.000221901143848298,NaN,3.12200168100077e-05
15,3.13642301066554e-05,NaN,0.000234695678935434,0.000230199149757767,0.370585875370968,2.11707794906577e-05
20,2.34771162551393e-05,NaN,0.000222399976090608,NaN,0.242087924154587,2.04160140840929e-05
25,2.46854183355126e-05,6.92815366416929e-05,NaN,0.000218119052058044,NaN,2.1739218195226e-05
30,2.21354633166745e-05,NaN,0.000221352911319896,NaN,0.238689267790845,2.38645529696916e-05
35,NaN,7.26208516995763e-05,NaN,0.000165070482398759,NaN,2.56779223616961e-05
40,2.22958263442714e-05,NaN,NaN,NaN,0.192107288388297,NaN
45,2.31063448327392e-05,NaN,NaN,NaN,NaN,2.41116108974462e-05
50,NaN,5.81401861525315e-05,NaN,NaN,0.226933124908864,NaN
55,2.27524900048342e-05,NaN,NaN,NaN,NaN,2.06596447513157e-05
65,2.36996326421609e-05,4.87415326596391e-05,NaN,NaN,0.170391170023731,NaN
80,2.12036527696744e-05,4.34914384414808e-05,NaN,NaN,NaN,NaN
100,NaN,4.27030793419009e-05,NaN,NaN,NaN,NaN
150,NaN,3.99036852842781e-05,NaN,NaN,NaN,NaN
200,NaN,3.55737666005254e-05,NaN,NaN,NaN,NaN
