t,CISHnRNA3_Obs,SOCS3nRNA2_Obs,Compound_1_Obs,Compound_2_Obs
0,5.28874216910159e-05,0.00022320677273084,0.00840290700358808,0.271706414503576
10,NaN,0.000411412264602988,NaN,NaN
25,NaN,0.00158227602190728,NaN,NaN
35,NaN,0.000961517657729253,NaN,NaN
50,NaN,0.000920537465620027,NaN,NaN
55,NaN,NaN,18.560621914798,NaN
65,NaN,0.000936039357094668,NaN,NaN
80,0.000260072273666458,NaN,NaN,NaN
85,NaN,0.000460711650051885,NaN,NaN
95,NaN,NaN,NaN,0.220388459163211
100,NaN,0.000633089050279135,3.58514819260068,NaN
150,0.00056641719104043,NaN,4.73293773829487,NaN
200,NaN,NaN,NaN,0.669315662017507
250,8.00936970571162e-05,NaN,15.2888540801334,NaN
300,NaN,NaN,2.54995526257347,0.183651859436353
350,0.000791725558678592,NaN,5.24042149866867,NaN
400,NaN,NaN,NaN,0.330494235843408
450,0.000507669497209007,NaN,3.63747277628811,NaN
550,0.00033520723995387,NaN,4.10220321804751,0.109354846966655
700,0.000220742000730225,NaN,5.93394490634378,NaN
750,NaN,NaN,NaN,0.562033095448342
850,0.000388147745275714,NaN,4.71599691497557,NaN
1000,0.000563247507274732,NaN,7.68545669256368,0.526764143581793
1500,0.00127755516568422,NaN,NaN,0.211743932561193
