t,EpoRpJAK2_Obs,nSTAT5_Obs,CISHnRNA5_Obs
0,0,0,5.87763948656038e-06
15,0.0100524719982884,0.741678047217536,0.000172245370907675
30,0.0579632307499271,2.30896182308531,0.000179387266292958
45,NaN,0.65028298074103,NaN
50,0.00890387080944466,NaN,0.00011884494080831
65,0.0101156054138773,0.23387415315852,2.68596319311514e-05
85,0.0588852015463294,0.289974010977884,0.000202625182257309
100,0.0684927104124053,0.362718840639113,8.68955701115744e-05
150,0.109855805856893,0.655013291564928,2.4073843473051e-05
200,0.0342310091722193,0.0770721594619959,6.24894684788817e-05
250,0.0299699890656301,0.354208776332802,2.90136791049676e-05
300,0.119394590985478,0.148554729582933,6.98950856156394e-05
