t,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me2K36me2_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.303241694038578,0.00951316250970914,0.00291671927539672,0.0230583315815818,0.00170672675836417,0.000390461581480545
3.5,0.273189706529874,0.00566182704215116,0.00384399843430591,NaN,NaN,NaN
4,NaN,NaN,NaN,0.0376992705406501,0.00297628701422939,NaN
5,NaN,NaN,NaN,NaN,NaN,0.00123182539625496
7,0.252200454119117,0.000713989934872998,NaN,NaN,NaN,NaN
7.5,NaN,NaN,0.00391126059259886,NaN,0.00410269978589908,NaN
8,NaN,NaN,NaN,0.0227330388983853,NaN,NaN
10,0.198322320994231,0.00395859275385167,0.00305876850271017,NaN,0.00578206926188236,0.000987487048431962
15,0.366743730883789,0.00568077643278856,0.00207430807505854,0.027835856848229,0.00622687897506041,0.00139549551611903
20,0.202983718136815,0.0031809124544176,0.00416379232805838,0.0330296406291793,0.00266553504113168,NaN
25,0.251055054746825,0.00536980823536465,0.00429953698571255,0.0261400533864527,0.00684926633991219,0.00129981205874856
30,0.0765478935779689,0.00405360207986181,NaN,0.0464962299275161,NaN,0.00117857847165077
35,NaN,0.00850877372004114,0.005670656147321,NaN,0.00861591299365495,NaN
40,0.131226258749918,NaN,0.00423675818683406,0.0273229971894532,0.00701805212934435,0.0011372169982638
45,NaN,0.00193989657183918,NaN,NaN,NaN,NaN
50,0.0429110697528301,0.00699682399016148,0.0051900547003785,0.0254066468772035,0.00380150672589859,0.00086059547031599
60,0.24469668061705,0.00604216053978247,0.00426901855882587,0.0338677290957763,0.0061654134714566,NaN
