t,pRAF_Obs,ERK_Obs
0,7.11866310575415e-06,0.999347820998795
0.4,NaN,0.692608343292633
0.6,0.000121176089351206,NaN
0.8,NaN,0.590866758703089
1,9.9716586524644e-05,0.625539094408804
1.5,NaN,0.602486189696178
2,4.82865863954261e-05,0.65742671564515
2.5,3.4837097505799e-05,0.794026636807803
3.5,2.04514267739874e-05,0.876349111960331
4,NaN,0.96188116441707
4.5,1.79191362092778e-05,NaN
5,NaN,1.08051618300549
5.5,1.25133092685461e-05,0.83316850582591
6.5,1.91223512618513e-05,NaN
7,NaN,1.03659272184436
8.5,1.65017866556428e-05,NaN
